0,15,26,32
0,15,26,34
4,858,859,1182
4,858,859,862
4,858,862,1182
4,859,862,1182
4,859,862,1492
13,201,908,1521
13,201,1520,1521
13,201,1117,1186
13,201,908,1186
13,201,1186,1520
13,201,908,1520
13,699,908,1521
13,908,1521,1522
13,908,1520,1521
13,1520,1521,1522
13,908,1186,1281
13,908,1281,1522
13,699,908,1186
13,908,1186,1520
13,908,1520,1522
15,26,32,56
26,691,698,1668
29,39,158,985
31,421,450,461
32,50,80,102
44,158,397,985
44,158,907,985
391,458,523,622
391,446,764,1026
159,490,725,920
490,725,920,1119
858,859,862,1182
858,859,1182,1493
854,858,859,862
858,859,862,1493
858,859,862,1494
858,859,1493,1494
858,862,1182,1493
858,862,1493,1494
828,859,862,1182
859,862,1182,1493
859,862,1492,1494
854,859,860,862
859,862,1493,1494
854,859,860,861
414,421,464,475
421,464,475,499
421,464,488,499
464,475,499,555
464,488,499,555
161,196,288,564
288,474,952,953
288,474,610,953
288,474,623,953
201,908,1520,1521
201,908,1186,1520
201,908,1183,1186
158,201,397,903
908,1520,1521,1522
373,396,628,715
373,396,628,1410
158,397,691,903
86,87,158,691
421,423,479,501
421,423,479,499
421,475,484,499
426,453,501,645
426,482,563,645
453,568,637,1165
459,475,484,566
459,475,484,504
459,475,484,509
459,475,509,566
459,475,504,509
459,484,509,566
459,484,504,514
459,484,504,509
210,532,624,1655
210,294,532,1655
234,294,532,1655
240,294,532,1655
128,142,161,219
128,149,161,219
73,86,87,95
128,131,142,219
128,142,155,219
255,331,336,382
255,331,339,382
255,331,339,340
255,331,339,376
107,683,803,969
294,1650,1654,1655
709,1399,1856,2154
709,1399,2154,2305
709,1856,2154,2305
1399,1856,2154,2305
709,782,1002,2280
709,782,1399,2280
709,782,1856,2280
709,782,2280,2305
709,1002,1399,2280
709,1002,1856,2280
709,1002,2280,2305
709,1399,1856,2280
709,1399,2280,2305
709,1856,2280,2305
709,782,1002,1399
709,782,1002,1856
709,782,1002,2305
709,782,1399,1856
709,782,1399,2305
709,782,1856,2305
709,1002,1399,1856
709,1002,1399,2305
709,1002,1856,2305
709,1399,1856,2305
782,1002,1399,2280
782,1002,1856,2280
782,1002,2280,2305
782,1399,1856,2280
782,1399,2280,2305
782,1856,2280,2305
1002,1399,1856,2280
1002,1399,2280,2305
1002,1856,2280,2305
1399,1856,2280,2305
179,2330,2852,2853
210,294,1650,1655
475,484,509,566
475,484,504,509
475,509,566,634
475,504,509,512
782,1002,1399,1856
782,1002,1399,2305
782,1002,1856,2305
782,1399,1856,2305
354,525,786,1245
1002,1399,1856,2305
1415,1682,2199,2206
679,680,681,682
