"0,1-d","2,1-d","3,1-d","4,1-d"
39,2,0,0
37,2,0,0
37,2,0,0
27,0,0,0
31,2,0,0
26,0,0,0
34,8,0,0
61,6,0,0
66,8,0,0
37,4,0,0
26,0,0,0
34,0,0,0
36,0,0,0
31,2,0,0
27,0,0,0
33,4,0,0
34,0,0,0
30,0,0,0
36,0,0,0
26,0,0,0
37,2,0,0
29,2,0,0
31,0,0,0
26,0,0,0
34,0,0,0
26,0,0,0
37,0,0,0
21,2,0,0
114,4,0,0
128,0,0,0
23,0,0,0
245,2,0,0
184,4,0,0
172,0,0,0
49,0,0,0
227,2,0,0
61,0,0,0
88,2,0,0
326,0,0,0
111,2,0,0
19,4,0,0
112,0,0,0
126,0,0,0
21,0,0,0
170,0,0,0
324,0,0,0
58,0,0,0
51,2,0,0
288,0,0,0
23,0,0,0
116,0,0,0
19,2,0,0
112,4,0,0
126,0,0,0
21,0,0,0
182,4,0,0
170,0,0,0
86,4,0,0
103,0,0,0
117,0,0,0
107,0,0,0
26,4,0,0
102,0,0,0
13,2,0,0
106,0,0,0
120,0,0,0
15,0,0,0
101,0,0,0
48,2,0,0
18,0,0,0
21,0,0,0
16,0,0,0
46,2,0,0
42,2,0,0
46,4,0,0
136,10,10,0
206,8,10,0
46,2,0,0
52,2,0,0
39,0,0,0
42,0,0,0
39,0,0,0
48,4,5,0
37,4,5,0
42,0,0,0
37,0,0,0
46,0,0,0
43,0,0,0
38,0,0,0
40,0,0,0
47,2,0,0
41,0,0,0
38,2,0,0
37,2,0,0
37,0,0,0
42,0,0,0
36,0,0,0
88,8,0,0
39,0,0,0
47,2,0,0
36,0,0,0
37,0,0,0
35,0,0,0
37,0,0,0
35,0,0,0
35,0,0,0
36,0,0,0
51,2,0,0
45,2,0,0
47,2,0,0
43,2,0,0
46,0,0,0
51,0,0,0
54,10,0,0
41,0,0,0
47,2,0,0
45,2,0,0
47,2,0,0
45,0,0,0
49,2,0,0
51,0,0,0
47,2,0,0
41,0,0,0
57,0,0,0
44,0,0,0
45,0,0,0
40,0,0,0
40,0,0,0
41,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
49,0,0,0
49,0,0,0
40,0,0,0
44,0,0,0
44,0,0,0
40,0,0,0
49,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
225,2,0,0
58,0,0,0
53,0,0,0
64,0,0,0
27,0,0,0
107,0,0,0
40,0,0,0
63,0,0,0
27,2,0,0
285,0,0,0
114,2,0,0
85,0,0,0
23,2,0,0
40,0,0,0
61,0,0,0
13,0,0,0
11,0,0,0
111,0,0,0
20,0,0,0
30,0,0,0
63,0,0,0
20,0,0,0
14,0,0,0
29,0,0,0
10,0,0,0
12,2,0,0
16,2,0,0
58,0,0,0
21,0,0,0
34,0,0,0
21,0,0,0
102,0,0,0
21,0,0,0
23,0,0,0
23,0,0,0
36,0,0,0
26,0,0,0
109,0,0,0
240,2,0,0
222,2,0,0
285,0,0,0
20,0,0,0
172,0,0,0
48,0,0,0
37,0,0,0
41,0,0,0
100,0,0,0
10,0,0,0
