"0,2-nd","1,2-nd","3,2-nd"
93,4,0
135,0,0
76,10,0
230,11,9
229,13,9
71,13,9
64,2,0
1636,2,0
2862,22,0
661,4,0
331,0,0
215,11,9
1748,5,0
1831,12,0
343,17,9
254,13,9
2172,0,0
313,16,9
266630,82,12
2995,40,12
270415,75,0
266534,38,12
1223,33,15
1504,47,15
1219,53,27
1222,35,15
1146,30,15
2003,11,9
1130,11,9
1170,9,9
1103,9,9
1170,9,9
1507,36,15
1145,32,15
1114,12,0
2002,12,9
1745,4,0
2144,26,0
97510,176,84
97051,104,81
97088,115,84
97051,99,81
2879,181,84
2997,134,12
2605,130,12
2605,128,9
2879,197,90
2605,135,18
2605,128,9
2626,137,18
2879,176,84
4198,48,0
2457,120,84
2420,104,81
2148,34,12
1713,32,12
1648,25,9
2161,74,18
2457,115,84
2163,59,0
473,0,0
147,20,0
216,20,0
1134,20,0
129,24,9
129,24,9
102,1,0
102,1,0
110,15,9
377,41,36
378,38,36
378,38,36
210,38,36
210,38,36
182,36,36
114,0,0
2014,0,0
3034,27,0
3248,108,12
3069,42,12
3044,73,21
2961,73,21
5157,165,60
5124,179,54
4239,51,15
4470,115,45
2516,4,0
3789,22,0
4939,184,54
4112,50,15
4448,95,45
2921,157,60
3652,89,24
4068,112,18
3026,117,51
2945,117,51
3304,103,15
3897,51,15
3933,79,0
2886,80,21
2803,80,21
3624,48,0
3766,136,39
4290,151,18
3239,156,51
3060,115,24
3158,156,51
3643,64,18
4304,123,42
4136,83,24
2997,152,66
2450,0,0
4055,83,24
519,10,0
2379,25,9
2056,20,9
2103,20,0
1044,16,0
1332,23,9
1075,16,0
367,4,0
1759,35,12
77323,12,0
2261,65,0
2205,2,0
2206,2,0
626,0,0
625,2,0
147941,817,18
127102,147,18
37129,485,441
96950,264,15
37129,485,441
69957,271,15
37129,485,441
37744,485,441
37129,485,441
37129,485,441
39172,485,441
39595,501,441
35084,447,441
35084,447,441
35699,447,441
35084,447,441
35084,447,441
37127,447,441
37550,463,441
126439,187,27
35084,447,441
35699,447,441
35084,447,441
35084,447,441
37127,447,441
37550,463,441
3206386,567,0
3193858,439,324
3242473,505,324
6324197,6637,324
3193585,439,324
3220033,485,324
3212805,477,324
3219668,465,324
109500,392,324
3331571,414,324
60612,326,324
87060,372,324
79832,364,324
86695,352,324
35699,447,441
35084,447,441
35084,447,441
37127,447,441
37550,463,441
3380186,480,324
109227,392,324
130968,995,354
125275,783,354
131270,849,330
3331298,414,324
3357746,460,324
3350518,452,324
3357381,440,324
29613,1,0
35699,447,441
35699,447,441
37742,447,441
38165,463,441
86787,372,324
79559,364,324
86422,352,324
112189,199,0
103330,763,354
112520,424,330
105311,415,330
29613,1,0
35084,447,441
37127,447,441
37550,463,441
37127,447,441
37550,463,441
39593,463,441
206,6,0
130,8,0
157,6,0
60,9,0
11670,337,0
12914,530,342
10235,350,324
10235,350,324
12938,553,342
10235,350,324
10235,350,324
10235,350,324
12914,530,342
12914,530,342
14801,889,648
12914,530,342
12914,530,342
12914,530,342
12914,530,342
12914,530,342
12914,530,342
12914,530,342
12914,530,342
12914,530,342
10235,350,324
12938,553,342
10235,350,324
10235,350,324
10235,350,324
12938,553,342
10235,350,324
10235,350,324
10235,350,324
12938,553,342
12938,553,342
12938,553,342
12938,553,342
12938,553,342
12938,553,342
12938,553,342
12938,553,342
12938,553,342
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
10235,350,324
236,14,9
238,9,0
103,12,9
104,11,9
104,11,9
3162675,79,0
2104,60,36
2006,68,36
4164,66,36
1859,38,9
1859,38,9
2088,61,36
4277,59,36
4158,71,36
1903,33,0
1755,4,0
1709,8,0
2619,8,0
1925,15,9
1859,14,9
1780,15,9
1777,10,0
1703,15,9
1971,0,0
3699,52,36
2073,42,36
3027,62,36
2719,52,36
3660,128,36
2404,52,36
346,0,0
1142,25,0
769,4,0
266265,94,24
267268,80,9
266256,84,0
267609,80,9
266255,77,12
266256,70,0
266265,93,24
2580,54,24
2380,34,12
4364,53,9
2365,38,12
1946,8,0
2365,34,12
3585800,1859,66
278753,261,57
312226,309,57
266199,45,18
268303,53,9
6407568,7149,1965
6270950,7290,1998
6504977,7542,2022
6725718,8398,2535
6528093,8139,2502
6703447,8941,2556
6516594,8225,2499
6597264,8806,2526
6863248,7782,2046
6629700,8936,2547
6528211,8138,2502
3611143,1907,984
3611041,1907,984
3646607,2263,1041
3620267,2013,1005
3324080,1616,375
3186579,1611,450
3426097,1652,450
3656826,2081,534
3631177,2715,684
3786963,1912,528
347819,622,180
357279,512,72
374404,969,543
333904,438,0
340497,664,270
342067,703,300
339153,620,261
333903,446,24
339153,620,261
3590145,1955,96
294242,290,93
306993,232,90
281336,166,81
6006217,7023,1965
6230551,7711,1989
6462105,8054,2094
6277509,7174,1977
6448876,8168,2118
6268150,7166,1971
6360280,7157,1965
6563081,9310,2058
6392896,7284,1977
6277627,7173,1977
3287720,1220,123
6104712,7350,2052
6334615,7772,2166
6140946,7315,2010
6312365,8316,2193
6131590,7307,2004
6223683,7298,1998
6462844,7596,2088
6256284,7425,2010
6141064,7314,2010
3170231,1407,354
6564098,8234,2202
6375028,7567,2034
6546230,8572,2217
6365675,7559,2028
6457731,7550,2022
6683177,8485,2136
6490317,7677,2034
6375146,7566,2034
3409887,1441,354
6593765,8524,2592
6762096,9672,2820
6586648,8410,2544
6676297,8513,2544
6895895,9792,2397
6708808,8642,2565
6593883,8523,2592
3679685,2145,999
3679583,2145,999
3722648,2266,1020
3688809,2251,1020
3614562,1516,219
3621651,1521,105
3638260,1926,492
3635694,1798,405
6571487,9067,2616
6382679,8451,2517
6480931,8147,2502
6731022,7906,2103
6513457,8277,2523
6387868,8676,2565
3479324,1931,993
3479222,1931,993
3522359,2052,1014
3488448,2037,1014
3437621,1495,291
6562172,9056,2601
6647304,9364,2571
6897165,9134,2349
6673001,9834,2709
6571605,9066,2616
3657680,2720,1020
3657578,2720,1020
3700636,2841,1041
3663120,2911,1158
3615167,2497,636
3585508,2035,288
3585897,2085,330
3585249,1985,264
3585249,1985,264
3593322,1999,114
3603499,2103,192
3613828,2328,414
3588062,2016,234
3584526,1872,90
3587987,1987,219
3592457,2123,312
6471590,8140,2499
6723946,7799,2052
6501941,8372,2553
6384913,8352,2517
3469869,1925,993
3469767,1925,993
3512907,2046,1014
3477842,2057,1047
3406522,1293,198
6813690,7890,2055
6575992,9292,2562
6481049,8146,2502
3563183,1922,984
3563081,1922,984
3598794,2274,1041
3572307,2028,1005
6846261,8016,2067
6731140,7905,2103
3744858,1348,219
3751947,1363,105
3768397,1759,483
3754324,1445,129
3765884,1619,372
6513575,8276,2523
3596279,2052,1005
3596177,2052,1005
3631785,2404,1062
3601809,2241,1137
3527674,1320,216
3526406,1305,213
3532088,1426,288
3479442,1929,993
3479340,1929,993
3522477,2050,1014
3488566,2035,1014
3437739,1494,291
442214,1022,900
487510,1074,900
451440,1128,921
487408,1074,900
451338,1128,921
496634,1180,921
376691,647,204
375423,632,201
382129,715,264
326978,587,240
292567,358,111
323221,483,165
320130,570,267
321479,640,339
318689,535,261
318689,535,261
352545,697,264
282949,416,246
279904,348,231
274490,186,24
279904,348,231
290675,332,39
281508,381,240
281508,381,240
318083,473,141
278463,313,225
312566,249,93
294067,213,30
286963,177,84
298086,205,87
283954,261,147
291811,324,159
290543,309,156
283675,169,0
266144,32,12
8231,225,225
8231,225,225
8231,225,225
8231,225,225
8231,225,225
8231,225,225
3376319,231,54
3408620,428,54
66110,121,45
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
7604,225,225
1192,24,12
326,32,15
