"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex"
6,1,0
8,0,0
6,2,0
10,3,3
10,3,3
6,3,3
4,1,0
26,1,0
40,3,0
11,1,0
9,0,0
10,3,3
27,1,0
28,2,0
13,3,3
11,3,3
25,0,0
13,3,3
196,7,3
24,5,3
198,5,0
196,5,3
20,5,3
20,5,3
20,5,3
20,5,3
18,5,3
25,3,3
19,3,3
18,3,3
17,3,3
18,3,3
20,5,3
18,5,3
18,2,0
25,3,3
27,1,0
29,4,0
106,10,9
105,9,9
105,9,9
105,9,9
35,10,9
38,9,3
34,9,3
34,9,3
35,11,9
34,9,3
34,9,3
34,9,3
35,10,9
46,4,0
33,9,9
32,9,9
33,4,3
28,4,3
27,3,3
31,6,3
33,9,9
31,5,0
14,0,0
9,4,0
11,4,0
9,4,0
8,4,3
8,4,3
7,1,0
7,1,0
8,3,3
13,6,6
13,6,6
13,6,6
10,6,6
10,6,6
9,6,6
6,0,0
29,0,0
40,4,0
43,7,3
41,4,3
41,7,3
40,7,3
59,9,6
59,10,6
53,5,3
55,8,6
36,1,0
46,3,0
59,10,6
53,5,3
55,7,6
41,9,6
48,7,3
53,8,3
42,8,6
41,8,6
44,7,3
49,5,3
53,7,0
41,7,3
40,7,3
47,5,0
48,8,3
53,10,3
43,9,6
42,8,3
42,9,6
47,6,3
54,8,6
48,7,3
42,9,6
36,0,0
47,7,3
17,2,0
37,4,3
33,4,3
33,4,0
23,3,0
29,4,3
24,3,0
11,1,0
26,4,3
175,2,0
37,5,0
38,1,0
38,1,0
11,0,0
11,1,0
287,17,3
219,7,3
112,21,21
180,11,3
112,21,21
142,11,3
112,21,21
115,21,21
112,21,21
112,21,21
117,21,21
115,21,21
110,21,21
110,21,21
110,21,21
110,21,21
110,21,21
113,21,21
110,21,21
221,9,3
110,21,21
110,21,21
110,21,21
110,21,21
113,21,21
110,21,21
1081,18,0
1082,18,18
1082,18,18
1990,50,18
1082,18,18
1082,18,18
1082,18,18
1082,18,18
207,18,18
1120,18,18
106,18,18
159,18,18
152,18,18
163,18,18
110,21,21
110,21,21
110,21,21
113,21,21
110,21,21
1120,18,18
207,18,18
258,22,18
241,19,18
254,19,18
1120,18,18
1120,18,18
1120,18,18
1120,18,18
72,1,0
110,21,21
110,21,21
116,21,21
111,21,21
159,18,18
152,18,18
163,18,18
130,9,0
205,19,18
226,18,18
209,18,18
72,1,0
110,21,21
113,21,21
110,21,21
113,21,21
110,21,21
116,21,21
11,2,0
9,2,0
9,2,0
6,3,0
97,13,0
102,18,18
81,18,18
81,18,18
102,18,18
81,18,18
81,18,18
81,18,18
102,18,18
102,18,18
108,24,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
81,18,18
102,18,18
81,18,18
81,18,18
81,18,18
102,18,18
81,18,18
81,18,18
81,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
102,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
81,18,18
11,3,3
11,2,0
8,3,3
8,3,3
8,3,3
1050,4,0
25,6,6
24,6,6
25,6,6
23,4,3
23,4,3
24,6,6
26,6,6
25,6,6
23,3,0
20,1,0
19,2,0
29,2,0
23,3,3
22,3,3
21,3,3
21,2,0
19,3,3
22,0,0
44,6,6
31,6,6
37,6,6
36,6,6
45,8,6
33,6,6
7,0,0
26,3,0
19,1,0
196,8,3
196,7,3
196,8,0
196,7,3
196,7,3
196,7,0
196,8,3
16,5,3
15,4,3
41,6,3
15,4,3
14,1,0
15,4,3
1208,29,6
204,11,6
216,11,6
196,4,3
196,6,3
2027,62,30
2012,63,30
2075,64,30
2124,68,30
2078,68,30
2102,68,30
2074,68,30
2083,68,30
2134,64,30
2087,69,30
2078,68,30
1231,30,30
1231,30,30
1242,33,30
1233,32,30
1157,25,15
1120,26,15
1185,26,15
1245,30,17
1220,35,18
1280,28,17
230,18,9
233,16,6
238,23,15
225,14,0
227,17,15
227,18,15
227,17,15
225,14,3
227,17,15
1208,30,9
214,12,9
218,10,9
206,9,9
1947,62,30
2007,63,30
2055,65,30
2019,62,30
2038,62,30
2016,62,30
2027,62,30
2050,70,30
2031,62,30
2019,62,30
1146,20,6
1997,63,30
2044,63,30
2004,63,30
2023,64,30
2001,63,30
2012,63,30
2050,63,30
2016,63,30
2004,63,30
1115,23,15
2100,64,30
2067,64,30
2083,65,30
2064,64,30
2075,64,30
2101,66,30
2078,64,30
2067,64,30
1180,23,15
2111,68,30
2133,70,32
2110,68,30
2123,68,30
2153,73,30
2127,68,30
2111,68,30
1251,32,30
1251,32,30
1259,33,30
1251,33,30
1234,23,11
1234,23,6
1240,28,15
1238,27,12
2090,68,30
2061,68,30
2078,68,30
2117,64,30
2082,68,30
2062,68,30
1204,30,30
1204,30,30
1226,31,30
1207,31,30
1186,24,12
2087,68,30
2098,68,30
2142,66,30
2099,68,30
2090,68,30
1227,36,30
1227,36,30
1243,37,30
1230,37,30
1217,35,16
1208,29,15
1208,29,15
1208,29,15
1208,29,15
1208,30,9
1211,32,9
1216,34,12
1208,30,12
1208,29,9
1208,30,12
1209,31,12
2075,68,30
2116,64,30
2078,68,30
2062,68,30
1201,31,30
1201,31,30
1225,31,30
1204,32,30
1171,20,9
2132,64,30
2084,71,30
2078,68,30
1218,30,30
1218,30,30
1231,33,30
1221,32,30
2137,64,30
2117,64,30
1271,22,11
1273,22,6
1277,27,15
1273,24,6
1276,26,12
2082,68,30
1222,31,30
1222,31,30
1235,33,30
1224,33,30
1192,21,12
1191,21,12
1192,23,12
1204,30,30
1204,30,30
1226,31,30
1207,31,30
1186,24,12
260,30,30
278,30,30
266,30,30
278,30,30
266,30,30
284,30,30
242,17,12
241,17,12
243,19,12
225,19,12
211,14,7
223,16,10
221,17,15
222,18,15
220,17,15
220,17,15
233,21,12
207,16,15
205,15,15
202,8,3
205,15,15
211,13,3
206,15,15
206,15,15
220,16,8
204,15,15
222,11,9
214,10,3
211,10,9
214,10,9
208,12,12
211,13,12
211,13,12
207,7,0
196,4,3
58,15,15
58,15,15
58,15,15
58,15,15
58,15,15
58,15,15
1132,10,6
1149,11,6
77,8,6
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
52,15,15
