"1,0-nd","2,0-nd","3,0-nd","4,0-nd"
97,170,0,0
977,3314,3108,1204
884,3082,2946,1088
148,476,0,0
572,2414,2460,864
42,0,0,0
80,298,303,0
312,1016,729,140
1058,3860,3621,1392
237,814,834,352
188,684,699,56
134,404,303,0
455,1238,1032,56
632,1708,1266,152
782,2700,2316,568
1171,4330,5526,4776
580,2202,2025,912
814,2914,3234,388
241,800,639,0
104,334,0,0
416,1382,1011,276
127,290,0,0
372,1418,1422,468
68,184,0,0
790,2752,2571,1088
396,894,558,28
1003,3870,3663,968
379,1038,729,136
445,1634,1566,612
202,616,450,92
736,2706,2199,392
829,3066,2769,668
854,3460,3906,2304
321,888,534,0
276,572,333,0
1171,4458,4260,1652
704,2794,2781,976
188,678,570,456
1062,4142,4938,3580
324,1134,1104,468
918,2672,1920,24
45,0,0,0
419,1234,1281,640
154,498,513,0
35,0,0,0
221,440,150,0
205,676,534,156
26,46,0,0
153,246,51,0
451,1510,1359,464
298,762,504,48
578,2276,2589,1524
83,154,0,0
186,550,309,0
1217,3960,3615,904
431,1300,942,184
25,0,0,0
251,1220,540,336
767,2958,2691,896
469,1428,906,244
326,1306,1404,316
326,1306,1404,316
678,2110,1803,628
157,642,603,0
466,1384,966,196
375,1352,1284,548
113,346,123,0
775,2720,2724,276
253,618,246,0
243,550,348,140
580,2014,1659,764
165,510,12,0
92,266,192,0
744,3086,3342,1448
108,110,51,16
688,2414,2061,612
621,2004,1452,24
556,2368,3432,3432
133,500,507,100
287,962,654,364
689,2888,2937,1120
408,1192,369,0
77,330,0,0
176,596,549,100
330,978,660,76
285,1114,1182,464
706,2064,1794,836
576,1828,1596,440
117,320,0,0
112,126,0,0
71,248,348,248
23,0,0,0
179,534,699,524
195,442,369,236
234,698,906,536
18,0,0,0
24,0,0,0
510,1806,1797,784
342,1330,1605,992
98,356,507,248
164,510,348,248
86,94,0,0
39,100,48,0
23,0,0,0
178,198,21,0
23,0,0,0
36,76,48,0
237,544,366,108
37,80,48,0
103,250,72,0
141,422,411,196
119,296,195,48
163,370,219,48
282,778,528,48
118,218,153,0
68,118,0,0
231,442,207,44
137,442,471,256
63,168,123,0
214,428,240,48
128,284,186,0
50,98,0,0
62,118,72,0
4,0,0,0
426,1424,1245,388
193,532,432,0
39,158,0,0
487,1820,2037,1068
171,530,189,0
37,128,0,0
367,1344,1335,52
213,814,810,336
712,2358,1785,304
238,856,819,276
89,302,279,84
63,238,0,0
240,630,285,0
104,388,375,84
451,1618,1956,1324
102,396,366,0
109,420,411,84
753,2288,1824,276
111,400,540,368
177,580,483,116
504,1618,1341,388
110,436,432,192
144,314,174,24
213,156,18,0
220,648,210,0
123,370,261,0
485,1712,1392,356
66,238,0,0
181,588,363,0
44,24,0,0
215,532,204,80
454,1534,1173,88
104,414,363,0
84,318,288,0
29,0,0,0
156,718,978,0
465,2462,4182,3668
26,0,0,0
489,2418,3999,3572
1115,4764,6330,4324
220,534,417,148
826,3292,3354,1352
133,396,306,132
357,1428,1347,856
56,184,0,0
191,594,306,132
337,1258,1074,356
758,3194,4422,3048
417,1180,603,136
620,2054,1761,220
51,170,0,0
141,302,210,0
167,460,354,136
189,624,462,92
244,746,1059,1044
197,660,516,44
314,1110,1002,208
34,88,0,0
171,532,336,0
38,0,0,0
212,514,375,236
164,412,87,0
142,512,0,0
284,634,399,56
356,886,597,0
57,224,0,0
518,2016,2079,828
209,710,663,0
605,2362,2475,1080
98,142,24,0
332,1054,756,0
154,266,0,0
75,338,342,0
346,1494,1491,280
301,1120,1131,0
210,830,753,172
719,2450,2076,480
485,1736,1569,488
597,2232,2028,612
169,196,0,0
57,226,0,0
288,884,732,0
406,1692,1785,776
233,490,24,0
445,1646,1230,172
503,2010,1980,876
149,306,9,0
309,662,114,0
258,644,426,0
75,338,342,0
457,1454,1035,0
283,1192,1299,204
173,118,0,0
116,408,261,0
217,496,9,0
390,1444,1713,764
1059,4194,4215,1452
155,434,78,0
448,1322,1059,48
142,410,210,0
404,1260,1278,768
171,478,423,212
67,212,0,0
132,456,501,272
199,686,564,0
110,44,0,0
241,596,150,0
802,3004,2925,660
179,358,0,0
483,1606,1503,76
145,370,222,0
362,1278,846,0
116,382,408,212
49,0,0,0
223,932,846,0
73,230,0,0
367,1456,1374,0
64,250,0,0
283,672,42,0
116,162,21,0
122,586,699,328
90,282,0,0
357,1036,435,0
480,2060,2154,936
246,496,0,0
192,744,579,468
231,816,573,0
303,1072,822,0
1009,3832,3309,1140
103,332,162,0
38,42,0,0
14,20,0,0
16,30,0,0
81,160,69,0
87,232,159,0
92,160,93,16
14,0,0,0
52,76,30,0
99,236,153,16
88,170,99,16
57,122,81,16
36,46,0,0
39,46,0,0
42,86,42,0
185,378,18,0
79,104,57,0
147,308,195,16
24,38,0,0
69,482,30,0
121,134,24,0
93,224,207,136
109,286,183,56
472,1446,639,0
