"1,0-nd","2,0-nd","3,0-nd","4,0-nd"
253,104,0,0
1620,730,0,0
148,0,0,0
14,0,0,0
239,110,0,0
1410,0,0,0
1225,36,0,0
1522,998,0,0
2140,746,0,0
805,222,18,0
1298,566,0,0
86,0,0,0
14,0,0,0
1412,430,0,0
23,0,0,0
114,0,0,0
689,0,0,0
45,0,0,0
13,0,0,0
146,52,0,0
23,0,0,0
986,186,0,0
399,146,0,0
190,36,0,0
392,134,0,0
500,0,0,0
210,726,669,176
1396,1368,801,192
397,116,0,0
3,0,0,0
1644,1776,774,144
23,0,0,0
2369,1152,489,0
335,120,0,0
40,0,0,0
60,0,0,0
257,0,0,0
672,208,18,0
941,792,579,0
15,0,0,0
520,0,0,0
300,0,0,0
1181,1036,723,160
586,130,21,0
817,0,0,0
83,6,0,0
87,0,0,0
2086,1874,855,192
973,172,18,0
786,178,0,0
1632,1092,378,0
919,690,0,0
130,4,0,0
14,0,0,0
300,0,0,0
222,712,669,176
358,50,0,0
343,128,9,0
23,0,0,0
18,0,0,0
4,0,0,0
1191,868,546,0
104,14,0,0
903,452,0,0
23,0,0,0
1206,974,0,0
260,30,0,0
93,30,0,0
35,0,0,0
28,0,0,0
347,0,0,0
165,0,0,0
2159,1870,480,0
789,0,0,0
226,32,0,0
709,84,0,0
131,52,9,0
536,94,9,0
146,664,669,160
221,0,0,0
102,0,0,0
421,762,726,192
16,4,0,0
497,16,0,0
690,0,0,0
14,0,0,0
55,0,0,0
14,0,0,0
3,0,0,0
637,0,0,0
27,0,0,0
389,356,0,0
517,578,0,0
273,242,0,0
802,14,0,0
1556,86,0,0
619,226,21,0
150,0,0,0
300,0,0,0
10,0,0,0
94,0,0,0
984,954,759,192
390,0,0,0
32,0,0,0
1249,534,0,0
19,0,0,0
1585,302,0,0
218,0,0,0
283,0,0,0
565,238,18,0
85,0,0,0
172,0,0,0
282,44,0,0
300,0,0,0
300,0,0,0
23,0,0,0
399,274,0,0
510,0,0,0
287,94,0,0
355,0,0,0
274,134,0,0
1501,1062,0,0
1133,226,21,0
1920,1264,189,0
801,564,0,0
273,0,0,0
354,378,0,0
258,346,0,0
2272,1372,486,0
1722,866,51,0
129,0,0,0
218,14,0,0
33,0,0,0
300,110,0,0
908,290,0,0
106,30,0,0
351,8,0,0
90,0,0,0
45,42,0,0
19,0,0,0
335,0,0,0
6,0,0,0
14,0,0,0
676,0,0,0
1096,1074,795,192
581,378,0,0
262,4,0,0
46,0,0,0
335,0,0,0
437,230,0,0
437,46,0,0
166,0,0,0
105,6,0,0
9,0,0,0
392,132,0,0
19,0,0,0
387,774,675,160
7,0,0,0
1492,926,420,0
168,0,0,0
335,0,0,0
236,82,0,0
678,288,0,0
1986,1096,0,0
1409,0,0,0
362,32,0,0
258,346,0,0
1377,1142,54,0
239,282,0,0
349,8,0,0
46,0,0,0
422,78,0,0
48,0,0,0
147,88,0,0
143,22,0,0
587,0,0,0
326,134,0,0
248,262,0,0
13,0,0,0
45,42,0,0
258,0,0,0
237,0,0,0
224,0,0,0
102,0,0,0
177,0,0,0
12,0,0,0
274,134,0,0
83,0,0,0
382,0,0,0
685,180,0,0
30,0,0,0
59,0,0,0
355,0,0,0
995,348,0,0
219,0,0,0
51,0,0,0
362,42,0,0
631,294,0,0
1633,190,0,0
266,0,0,0
460,0,0,0
582,94,0,0
472,118,9,0
256,0,0,0
427,0,0,0
10,0,0,0
204,0,0,0
209,90,0,0
365,0,0,0
37,0,0,0
1196,0,0,0
442,162,0,0
360,24,0,0
370,0,0,0
190,4,0,0
9,0,0,0
259,234,0,0
591,344,0,0
569,804,684,160
98,0,0,0
23,0,0,0
13,0,0,0
1065,94,0,0
32,4,0,0
115,0,0,0
1197,336,0,0
1063,352,0,0
99,0,0,0
274,134,0,0
18,18,0,0
262,0,0,0
70,32,0,0
241,32,0,0
116,0,0,0
105,0,0,0
226,0,0,0
335,0,0,0
3,0,0,0
475,42,0,0
67,0,0,0
248,0,0,0
405,366,0,0
28,20,0,0
4,0,0,0
1432,1060,0,0
181,16,0,0
348,0,0,0
2,0,0,0
7,0,0,0
531,232,0,0
172,0,0,0
694,0,0,0
386,0,0,0
463,128,0,0
1384,534,0,0
16,4,0,0
19,0,0,0
52,18,0,0
374,0,0,0
1115,94,0,0
335,0,0,0
80,0,0,0
16,0,0,0
24,0,0,0
632,0,0,0
300,0,0,0
1476,772,0,0
1316,356,0,0
75,32,0,0
17,4,0,0
1113,592,0,0
11,4,0,0
12,0,0,0
2,0,0,0
102,0,0,0
37,32,0,0
116,0,0,0
29,0,0,0
6,0,0,0
19,0,0,0
41,0,0,0
739,232,0,0
258,346,0,0
636,118,9,0
335,0,0,0
1056,662,0,0
991,688,0,0
9,0,0,0
22,12,0,0
43,12,0,0
2,0,0,0
2,0,0,0
1042,454,0,0
608,442,0,0
1016,162,0,0
966,414,0,0
413,0,0,0
1119,646,0,0
999,556,0,0
102,0,0,0
881,0,0,0
10,0,0,0
68,0,0,0
646,190,0,0
14,0,0,0
59,0,0,0
114,32,0,0
36,0,0,0
31,0,0,0
76,0,0,0
217,0,0,0
815,232,0,0
613,0,0,0
93,4,0,0
301,0,0,0
1818,738,0,0
22,0,0,0
13,0,0,0
67,4,0,0
306,0,0,0
26,0,0,0
5,0,0,0
1798,1046,0,0
5,0,0,0
45,0,0,0
7,0,0,0
16,0,0,0
115,0,0,0
1086,1090,447,0
29,24,0,0
115,0,0,0
5,0,0,0
3,0,0,0
1113,912,0,0
312,0,0,0
30,0,0,0
437,166,0,0
43,0,0,0
1111,578,0,0
15,0,0,0
20,0,0,0
260,42,0,0
187,0,0,0
68,0,0,0
48,0,0,0
43,0,0,0
258,346,0,0
71,8,0,0
765,868,741,192
1289,900,0,0
10,0,0,0
94,0,0,0
460,42,0,0
36,0,0,0
2215,1164,666,144
1185,244,0,0
15,0,0,0
34,32,0,0
772,980,51,0
1868,534,0,0
301,0,0,0
220,98,9,0
26,4,0,0
11,0,0,0
224,0,0,0
1188,0,0,0
14,0,0,0
116,0,0,0
1488,746,0,0
248,0,0,0
869,0,0,0
11,0,0,0
14,0,0,0
85,30,0,0
45,42,0,0
167,36,0,0
11,0,0,0
15,0,0,0
909,0,0,0
6,0,0,0
36,0,0,0
5,0,0,0
341,4,0,0
9,0,0,0
4,0,0,0
314,0,0,0
1673,0,0,0
102,0,0,0
564,0,0,0
291,0,0,0
313,0,0,0
26,0,0,0
15,0,0,0
23,0,0,0
34,0,0,0
115,84,0,0
640,0,0,0
135,0,0,0
8,0,0,0
1691,1132,0,0
90,0,0,0
57,0,0,0
19,0,0,0
22,0,0,0
81,0,0,0
60,0,0,0
25,0,0,0
339,0,0,0
5,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
819,834,546,0
115,0,0,0
6,0,0,0
989,0,0,0
186,40,0,0
16,0,0,0
1554,534,0,0
1292,0,0,0
252,0,0,0
1231,534,0,0
186,0,0,0
476,0,0,0
430,146,0,0
1633,534,0,0
413,206,0,0
41,0,0,0
26,12,0,0
21,0,0,0
112,0,0,0
1173,232,0,0
400,0,0,0
322,148,0,0
1512,796,0,0
1546,1224,0,0
317,108,0,0
248,0,0,0
1305,346,0,0
440,212,0,0
1518,266,0,0
838,310,0,0
102,0,0,0
237,0,0,0
385,0,0,0
33,0,0,0
45,26,0,0
106,14,0,0
1739,832,0,0
52,0,0,0
300,0,0,0
322,32,0,0
12,0,0,0
2,0,0,0
279,0,0,0
50,0,0,0
31,0,0,0
443,0,0,0
896,0,0,0
172,0,0,0
78,0,0,0
45,0,0,0
91,0,0,0
1050,588,0,0
46,0,0,0
326,134,0,0
617,390,0,0
1145,232,0,0
16,0,0,0
461,20,0,0
107,20,0,0
832,134,0,0
445,0,0,0
11,0,0,0
2,0,0,0
229,400,0,0
111,0,0,0
274,134,0,0
20,0,0,0
400,0,0,0
258,346,0,0
9,0,0,0
217,0,0,0
1347,232,0,0
27,0,0,0
1251,702,0,0
1233,134,0,0
10,0,0,0
355,0,0,0
339,0,0,0
466,0,0,0
43,0,0,0
5,0,0,0
10,0,0,0
442,0,0,0
20,0,0,0
277,10,0,0
121,0,0,0
1244,94,0,0
434,336,0,0
1392,752,0,0
1354,554,9,0
110,0,0,0
11,4,0,0
787,580,0,0
958,0,0,0
1005,232,0,0
367,0,0,0
14,0,0,0
60,6,0,0
46,6,0,0
1620,262,0,0
1999,870,51,0
444,812,390,0
1133,422,0,0
3,0,0,0
3,0,0,0
181,82,0,0
48,0,0,0
19,0,0,0
66,0,0,0
210,0,0,0
353,0,0,0
22,4,0,0
427,6,0,0
86,0,0,0
1274,232,0,0
249,0,0,0
215,0,0,0
257,0,0,0
331,0,0,0
859,0,0,0
72,0,0,0
1167,464,0,0
65,0,0,0
4,0,0,0
66,40,0,0
382,274,0,0
869,340,0,0
1346,532,0,0
1087,232,0,0
305,0,0,0
9,0,0,0
102,0,0,0
11,0,0,0
512,0,0,0
11,0,0,0
1,0,0,0
1,0,0,0
963,150,0,0
687,400,0,0
115,0,0,0
11,0,0,0
3,0,0,0
289,0,0,0
15,0,0,0
208,0,0,0
7,0,0,0
319,36,0,0
1758,534,0,0
3,0,0,0
2,0,0,0
188,0,0,0
2080,534,0,0
266,380,0,0
1171,588,0,0
514,0,0,0
22,4,0,0
20,22,0,0
34,32,0,0
307,0,0,0
613,86,0,0
344,12,0,0
406,0,0,0
60,18,0,0
834,232,0,0
38,0,0,0
66,0,0,0
107,0,0,0
1276,726,0,0
129,0,0,0
23,0,0,0
89,0,0,0
38,6,0,0
7,0,0,0
370,0,0,0
