"1,0-HCore","2,0-HCore","3,0-HCore","4,0-HCore"
8,11,0,0
8,8,0,0
8,0,0,0
1,0,0,0
8,9,0,0
9,0,0,0
8,3,0,0
10,128,0,0
10,4,0,0
8,30,4,0
8,4,0,0
6,0,0,0
1,0,0,0
9,13,0,0
1,0,0,0
6,0,0,0
9,0,0,0
3,0,0,0
2,0,0,0
8,7,0,0
1,0,0,0
8,8,0,0
5,4,0,0
8,3,0,0
7,2,0,0
5,0,0,0
8,56,73,24
9,34,30,8
7,8,0,0
1,0,0,0
10,118,103,12
1,0,0,0
10,52,12,0
3,2,0,0
3,0,0,0
3,0,0,0
3,0,0,0
8,45,4,0
8,16,6,0
2,0,0,0
3,0,0,0
3,0,0,0
10,31,23,4
5,8,3,0
5,0,0,0
5,2,0,0
4,0,0,0
10,230,199,36
8,7,3,0
9,20,0,0
10,96,6,0
8,31,0,0
5,2,0,0
1,0,0,0
3,0,0,0
8,56,73,24
8,2,0,0
5,6,3,0
1,0,0,0
2,0,0,0
1,0,0,0
9,16,6,0
5,2,0,0
9,6,0,0
2,0,0,0
7,8,0,0
9,2,0,0
3,3,0,0
3,0,0,0
3,0,0,0
9,0,0,0
3,0,0,0
10,202,22,0
5,0,0,0
8,6,0,0
8,2,0,0
5,9,3,0
9,13,3,0
5,16,15,4
5,0,0,0
1,0,0,0
6,22,24,8
2,2,0,0
9,3,0,0
6,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
1,0,0,0
9,0,0,0
2,0,0,0
7,7,0,0
5,8,0,0
5,8,0,0
9,3,0,0
9,2,0,0
4,8,3,0
7,0,0,0
3,0,0,0
1,0,0,0
6,0,0,0
9,29,28,8
9,0,0,0
3,0,0,0
8,2,0,0
1,0,0,0
9,4,0,0
2,0,0,0
3,0,0,0
8,17,4,0
2,0,0,0
1,0,0,0
8,6,0,0
3,0,0,0
3,0,0,0
1,0,0,0
9,8,0,0
7,0,0,0
6,4,0,0
5,0,0,0
2,2,0,0
9,15,0,0
5,8,3,0
10,120,6,0
8,7,0,0
3,0,0,0
7,11,0,0
2,2,0,0
10,98,19,0
10,14,3,0
2,0,0,0
8,2,0,0
1,0,0,0
6,5,0,0
9,6,0,0
4,2,0,0
9,2,0,0
2,0,0,0
2,2,0,0
1,0,0,0
4,0,0,0
1,0,0,0
3,0,0,0
4,0,0,0
9,93,132,36
6,2,0,0
6,2,0,0
4,0,0,0
4,0,0,0
7,4,0,0
9,3,0,0
2,0,0,0
4,2,0,0
1,0,0,0
6,4,0,0
1,0,0,0
7,22,17,4
1,0,0,0
10,40,6,0
2,0,0,0
4,0,0,0
7,2,0,0
8,6,0,0
10,10,0,0
9,0,0,0
6,2,0,0
2,2,0,0
10,151,6,0
2,2,0,0
3,2,0,0
2,0,0,0
10,2,0,0
1,0,0,0
4,4,0,0
6,2,0,0
3,0,0,0
3,2,0,0
2,2,0,0
1,0,0,0
2,2,0,0
9,0,0,0
3,0,0,0
2,0,0,0
5,0,0,0
3,0,0,0
1,0,0,0
2,2,0,0
2,0,0,0
4,0,0,0
8,4,0,0
2,0,0,0
2,0,0,0
3,0,0,0
7,4,0,0
2,0,0,0
3,0,0,0
5,4,0,0
9,10,0,0
9,2,0,0
3,0,0,0
9,0,0,0
7,2,0,0
9,22,3,0
5,0,0,0
9,0,0,0
1,0,0,0
3,0,0,0
4,2,0,0
5,0,0,0
3,0,0,0
8,0,0,0
7,15,0,0
9,3,0,0
2,0,0,0
3,2,0,0
1,0,0,0
4,5,0,0
5,7,0,0
8,21,17,4
5,0,0,0
1,0,0,0
1,0,0,0
9,2,0,0
2,2,0,0
2,0,0,0
8,6,0,0
10,12,0,0
1,0,0,0
2,2,0,0
2,2,0,0
4,0,0,0
4,8,0,0
4,2,0,0
1,0,0,0
5,0,0,0
2,0,0,0
4,0,0,0
1,0,0,0
9,5,0,0
2,0,0,0
2,0,0,0
3,2,0,0
3,2,0,0
1,0,0,0
9,14,0,0
7,2,0,0
5,0,0,0
1,0,0,0
1,0,0,0
5,2,0,0
1,0,0,0
8,0,0,0
3,0,0,0
10,4,0,0
6,2,0,0
2,2,0,0
1,0,0,0
3,2,0,0
5,0,0,0
9,2,0,0
4,0,0,0
4,0,0,0
1,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
9,36,0,0
9,4,0,0
4,8,0,0
2,2,0,0
8,6,0,0
2,2,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,2,0,0
1,0,0,0
3,0,0,0
1,0,0,0
1,0,0,0
4,0,0,0
5,2,0,0
2,2,0,0
9,22,3,0
4,0,0,0
6,8,0,0
8,7,0,0
1,0,0,0
2,2,0,0
4,2,0,0
1,0,0,0
1,0,0,0
9,4,0,0
9,9,0,0
8,6,0,0
9,19,0,0
3,0,0,0
8,4,0,0
7,6,0,0
1,0,0,0
6,0,0,0
1,0,0,0
5,0,0,0
7,4,0,0
1,0,0,0
2,0,0,0
3,2,0,0
3,0,0,0
3,0,0,0
5,0,0,0
5,0,0,0
9,30,0,0
5,0,0,0
7,2,0,0
2,0,0,0
9,6,0,0
3,0,0,0
3,0,0,0
4,2,0,0
4,0,0,0
2,0,0,0
1,0,0,0
10,14,0,0
1,0,0,0
4,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
7,16,6,0
3,3,0,0
2,0,0,0
1,0,0,0
1,0,0,0
9,10,0,0
10,0,0,0
1,0,0,0
10,2,0,0
1,0,0,0
5,6,0,0
1,0,0,0
2,0,0,0
6,9,0,0
2,0,0,0
3,0,0,0
1,0,0,0
3,0,0,0
2,2,0,0
3,2,0,0
8,26,26,8
7,6,0,0
1,0,0,0
5,0,0,0
6,4,0,0
1,0,0,0
10,60,47,12
9,6,0,0
1,0,0,0
2,2,0,0
10,31,4,0
9,2,0,0
4,0,0,0
6,7,3,0
3,2,0,0
2,0,0,0
2,0,0,0
8,0,0,0
2,0,0,0
1,0,0,0
9,4,0,0
2,0,0,0
6,0,0,0
1,0,0,0
1,0,0,0
5,5,0,0
2,2,0,0
5,2,0,0
1,0,0,0
2,0,0,0
4,0,0,0
1,0,0,0
4,0,0,0
1,0,0,0
5,2,0,0
1,0,0,0
1,0,0,0
4,0,0,0
9,0,0,0
1,0,0,0
10,0,0,0
2,0,0,0
5,0,0,0
3,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,2,0,0
8,0,0,0
5,0,0,0
1,0,0,0
9,16,0,0
6,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
3,0,0,0
1,0,0,0
1,0,0,0
4,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
7,14,6,0
2,0,0,0
1,0,0,0
6,0,0,0
6,2,0,0
1,0,0,0
8,2,0,0
8,0,0,0
3,0,0,0
7,2,0,0
2,0,0,0
6,0,0,0
4,4,0,0
8,2,0,0
7,4,0,0
1,0,0,0
3,2,0,0
1,0,0,0
3,0,0,0
9,6,0,0
4,0,0,0
4,5,0,0
8,7,0,0
10,16,0,0
4,2,0,0
2,0,0,0
9,2,0,0
5,6,0,0
8,4,0,0
9,31,0,0
2,0,0,0
2,0,0,0
3,0,0,0
1,0,0,0
4,3,0,0
7,3,0,0
10,10,0,0
3,0,0,0
3,0,0,0
3,2,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
2,0,0,0
6,0,0,0
1,0,0,0
5,0,0,0
3,0,0,0
5,0,0,0
8,8,0,0
2,0,0,0
3,2,0,0
9,8,0,0
7,2,0,0
1,0,0,0
5,2,0,0
2,2,0,0
4,2,0,0
8,0,0,0
1,0,0,0
1,0,0,0
4,2,0,0
4,0,0,0
2,2,0,0
1,0,0,0
4,0,0,0
2,2,0,0
1,0,0,0
2,0,0,0
9,2,0,0
1,0,0,0
9,6,0,0
6,2,0,0
1,0,0,0
5,0,0,0
4,0,0,0
7,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
10,0,0,0
1,0,0,0
8,2,0,0
2,0,0,0
9,2,0,0
10,6,0,0
8,9,0,0
