"1,0-d","2,0-d","3,0-d","4,0-d"
27,22,0,0
14,10,0,0
14,0,0,0
1,0,0,0
41,18,0,0
12,0,0,0
12,4,0,0
110,192,0,0
19,4,0,0
172,56,6,0
12,4,0,0
12,0,0,0
2,0,0,0
23,20,0,0
1,0,0,0
23,0,0,0
10,0,0,0
7,0,0,0
2,0,0,0
9,10,0,0
1,0,0,0
12,10,0,0
5,4,0,0
30,4,0,0
7,2,0,0
5,0,0,0
19,70,84,32
12,34,33,8
76,12,0,0
2,0,0,0
33,144,126,16
1,0,0,0
314,106,15,0
3,2,0,0
6,0,0,0
3,0,0,0
3,0,0,0
102,78,6,0
9,16,6,0
3,0,0,0
4,0,0,0
3,0,0,0
14,32,27,4
10,10,3,0
6,0,0,0
12,2,0,0
4,0,0,0
49,272,228,48
14,8,3,0
93,40,0,0
165,170,6,0
15,42,0,0
14,2,0,0
1,0,0,0
3,0,0,0
19,68,84,32
44,2,0,0
10,8,3,0
1,0,0,0
4,0,0,0
1,0,0,0
13,16,6,0
8,4,0,0
12,8,0,0
4,0,0,0
12,8,0,0
38,4,0,0
5,4,0,0
6,0,0,0
4,0,0,0
40,0,0,0
3,0,0,0
233,326,36,0
5,0,0,0
30,8,0,0
14,2,0,0
12,16,3,0
54,24,3,0
6,16,15,4
52,0,0,0
1,0,0,0
6,22,24,8
2,2,0,0
54,4,0,0
10,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
1,0,0,0
116,0,0,0
3,0,0,0
22,14,0,0
8,12,0,0
8,12,0,0
107,4,0,0
16,2,0,0
10,12,3,0
8,0,0,0
3,0,0,0
1,0,0,0
11,0,0,0
11,30,30,8
38,0,0,0
3,0,0,0
9,2,0,0
1,0,0,0
17,4,0,0
2,0,0,0
3,0,0,0
36,30,6,0
2,0,0,0
1,0,0,0
30,10,0,0
3,0,0,0
3,0,0,0
1,0,0,0
47,10,0,0
10,0,0,0
21,8,0,0
5,0,0,0
2,2,0,0
22,22,0,0
6,8,3,0
215,208,9,0
17,10,0,0
3,0,0,0
25,20,0,0
2,2,0,0
288,174,24,0
13,16,3,0
2,0,0,0
33,2,0,0
1,0,0,0
35,8,0,0
13,6,0,0
7,2,0,0
42,2,0,0
2,0,0,0
2,2,0,0
1,0,0,0
4,0,0,0
1,0,0,0
4,0,0,0
5,0,0,0
23,110,147,48
11,2,0,0
11,2,0,0
6,0,0,0
4,0,0,0
8,4,0,0
56,6,0,0
2,0,0,0
9,2,0,0
1,0,0,0
19,4,0,0
1,0,0,0
8,24,18,4
1,0,0,0
160,74,6,0
2,0,0,0
4,0,0,0
17,2,0,0
12,6,0,0
13,10,0,0
11,0,0,0
6,2,0,0
2,2,0,0
79,208,9,0
2,2,0,0
3,2,0,0
2,0,0,0
48,2,0,0
1,0,0,0
13,6,0,0
21,2,0,0
3,0,0,0
3,2,0,0
2,2,0,0
1,0,0,0
2,2,0,0
41,0,0,0
3,0,0,0
2,0,0,0
12,0,0,0
3,0,0,0
1,0,0,0
2,2,0,0
3,0,0,0
4,0,0,0
10,4,0,0
9,0,0,0
2,0,0,0
3,0,0,0
15,8,0,0
2,0,0,0
10,0,0,0
9,4,0,0
80,20,0,0
12,2,0,0
3,0,0,0
57,0,0,0
7,2,0,0
49,44,3,0
8,0,0,0
50,0,0,0
1,0,0,0
3,0,0,0
4,2,0,0
5,0,0,0
5,0,0,0
9,0,0,0
15,28,0,0
41,4,0,0
2,0,0,0
9,2,0,0
1,0,0,0
6,6,0,0
14,14,0,0
8,22,18,4
9,0,0,0
2,0,0,0
1,0,0,0
17,2,0,0
8,2,0,0
2,0,0,0
10,6,0,0
99,18,0,0
1,0,0,0
2,2,0,0
3,2,0,0
4,0,0,0
14,16,0,0
4,2,0,0
1,0,0,0
11,0,0,0
2,0,0,0
4,0,0,0
1,0,0,0
60,8,0,0
2,0,0,0
2,0,0,0
3,2,0,0
4,2,0,0
1,0,0,0
13,16,0,0
20,2,0,0
6,0,0,0
1,0,0,0
2,0,0,0
5,2,0,0
1,0,0,0
10,0,0,0
3,0,0,0
41,4,0,0
11,2,0,0
2,2,0,0
