"0,2-d","1,2-d","3,2-d"
50,5,0
50,5,0
75,10,0
52,7,0
58,7,0
50,5,0
92,7,0
36,2,0
35,1,0
39,0,0
569,19,0
75,5,0
147,4,3
530,6,3
60,4,0
43,0,0
116,4,0
550,13,0
36,1,0
148,3,0
639,38,3
68,7,0
51,5,0
61,4,0
40,2,0
40,2,0
60,3,0
62,5,0
34,0,0
61,5,0
95,2,0
52,4,0
52,4,0
53,5,0
545,19,0
132,11,0
29,2,0
116,11,0
25,2,0
118,10,0
109,9,0
129,9,0
110,9,0
110,8,0
134,9,0
108,9,0
64,7,0
142,15,0
83,9,0
39,1,0
62,6,0
40,4,0
43,1,0
42,4,0
47,4,0
129,14,0
135,11,0
118,9,0
122,9,0
119,9,0
120,10,0
125,10,0
211,16,0
126,10,0
73,7,0
85,6,0
62,7,0
64,8,0
60,6,0
46,2,0
49,2,0
103,9,0
107,10,0
94,7,0
100,12,0
93,5,0
86,6,0
134,6,0
156,14,0
6,1,0
64,2,0
67,2,0
15,1,0
112,5,0
93,2,0
26,1,0
45,4,0
544,19,0
564,22,0
550,24,3
549,23,3
535,15,0
536,16,0
536,16,0
626,37,6
539,18,3
540,17,0
562,22,0
551,22,3
542,16,0
540,19,0
547,20,0
74,7,0
45,1,0
137,9,0
149,15,0
154,12,0
129,7,0
125,6,0
125,6,0
152,10,0
159,9,0
69,7,0
65,5,0
156,11,0
81,7,0
71,3,0
50,1,0
72,5,3
146,10,3
44,0,0
45,2,0
46,1,0
43,0,0
136,8,3
133,6,0
42,1,0
68,2,0
46,3,0
118,5,0
48,5,0
134,7,0
28,2,0
35,5,0
31,2,0
35,4,0
46,5,0
121,6,0
41,3,0
29,2,0
31,5,0
23,0,0
30,5,0
29,4,0
2,0,0
607,34,3
140,0,0
173,12,0
150,8,0
161,8,0
146,7,0
146,7,0
148,7,0
149,9,0
146,7,0
5,0,0
83,3,0
143,11,0
577,19,3
530,20,3
542,22,0
652,59,3
588,19,3
523,15,0
516,8,0
530,17,0
174,14,0
185,16,0
50,3,0
171,7,0
36,3,0
37,3,0
37,1,0
97,6,3
54,1,0
230,17,3
161,4,0
615,34,0
620,41,0
608,33,0
618,34,0
615,38,0
605,32,0
622,39,0
612,37,0
624,40,0
656,50,0
696,57,9
609,35,3
615,38,0
627,39,0
609,35,0
606,33,0
619,39,0
607,34,0
605,32,0
608,35,0
608,34,0
637,44,0
631,40,3
638,45,3
605,32,0
607,33,0
605,32,0
610,35,3
615,37,0
614,37,3
609,33,0
144,6,0
173,14,0
213,12,0
138,5,0
166,18,0
170,10,0
138,6,0
152,13,0
143,9,0
128,8,0
128,8,0
138,9,0
179,22,0
128,8,0
138,12,0
132,9,0
226,13,0
140,4,0
142,6,0
121,5,0
119,5,0
123,5,0
126,5,0
162,11,0
159,9,0
172,9,0
158,8,0
158,8,0
166,9,0
158,8,0
159,8,0
162,13,0
129,6,0
137,6,0
159,8,0
126,3,0
128,3,0
132,4,0
130,4,0
145,4,0
133,3,0
163,13,0
165,13,0
165,16,3
163,13,0
166,16,0
162,13,0
165,16,3
163,14,0
167,13,0
162,13,0
125,3,0
206,11,3
210,10,0
228,15,3
211,13,3
205,9,0
202,8,0
124,5,0
129,7,0
148,7,0
112,0,0
113,2,0
115,3,0
122,3,0
114,2,0
127,4,0
113,0,0
151,5,0
119,2,0
113,0,0
149,8,3
171,8,0
145,6,0
139,3,0
113,0,0
117,4,3
152,3,0
93,2,0
168,5,0
150,6,0
19,2,0
28,0,0
25,1,0
39,4,0
40,4,0
111,4,0
39,4,0
18,3,0
113,9,0
15,1,0
15,1,0
3,0,0
145,4,0
3,0,0
130,6,0
136,7,0
31,1,0
123,8,0
109,3,0
109,3,0
123,8,0
47,5,0
42,3,0
43,3,0
53,6,0
50,0,0
81,3,0
28,0,0
28,4,0
28,1,0
24,0,0
39,1,0
94,5,0
125,5,0
128,5,0
121,3,0
51,4,0
36,2,0
48,4,0
43,3,0
38,2,0
39,1,0
46,2,0
110,7,0
54,5,0
99,6,0
102,7,0
35,2,0
30,1,0
103,7,0
95,6,0
42,2,0
19,1,0
130,10,0
92,17,0
72,6,0
70,4,0
121,6,0
86,14,0
104,7,0
148,13,0
110,16,0
177,19,0
187,16,0
164,11,0
167,9,0
92,6,0
70,0,0
79,5,0
79,5,0
82,5,0
80,6,0
82,4,0
84,15,0
74,6,0
67,0,0
70,4,0
80,7,0
75,5,0
73,3,0
85,7,0
68,3,0
98,14,0
138,9,0
127,8,0
137,9,0
99,18,0
77,3,0
115,16,0
88,14,0
83,14,0
83,14,0
84,14,0
87,14,0
87,14,0
86,15,0
60,0,0
68,1,0
62,0,0
93,2,0
71,3,0
67,2,0
67,2,0
76,1,0
83,6,0
60,0,0
67,2,0
66,2,0
65,1,0
64,1,0
87,5,0
40,5,0
58,2,0
63,3,0
46,3,0
30,1,0
7,0,0
25,2,0
164,14,0
209,13,0
79,2,0
29,2,0
49,6,0
538,22,0
513,13,0
521,15,0
530,20,0
511,12,0
526,19,0
519,15,0
517,16,0
516,17,0
512,13,0
511,12,0
511,12,0
546,27,0
588,18,0
558,16,0
544,15,0
543,15,3
532,12,0
548,19,0
620,30,3
562,17,0
553,30,3
561,22,0
555,21,3
534,16,0
531,13,0
570,38,3
538,15,0
582,23,0
545,24,0
657,59,0
572,30,0
535,20,0
522,11,0
522,10,0
527,14,3
514,6,0
564,20,0
561,32,0
541,15,0
516,10,3
555,40,3
518,12,0
515,9,0
538,33,0
568,21,0
565,31,0
652,54,0
559,38,0
545,23,0
517,6,0
537,33,0
555,17,0
517,15,0
527,18,0
532,21,0
517,14,0
561,21,0
533,18,0
552,37,0
512,7,0
514,7,0
560,19,0
558,17,0
551,14,0
552,13,0
579,18,0
561,21,0
554,14,0
559,13,0
551,29,0
504,5,0
516,12,0
510,7,0
636,48,0
510,4,0
506,7,0
506,8,0
633,50,0
540,34,0
496,0,0
523,17,0
634,50,0
541,34,0
587,17,0
589,19,0
508,4,0
503,5,0
560,21,0
513,15,0
525,19,0
542,37,0
506,11,0
528,21,0
518,13,0
501,6,0
557,33,0
544,26,0
550,31,0
594,40,6
543,26,0
544,27,0
548,30,0
555,32,3
544,27,0
553,29,0
558,33,0
545,27,0
546,28,0
566,37,3
572,39,3
549,30,0
545,28,0
548,31,0
543,26,0
546,28,0
549,32,6
543,26,0
513,13,0
510,12,0
504,9,0
508,12,0
515,13,0
509,12,0
505,10,0
504,9,0
508,13,0
574,12,0
525,7,0
