"0,2-HCore","1,2-HCore","3,2-HCore"
37,5,0
37,5,0
39,5,0
37,5,0
37,5,0
37,5,0
45,4,0
34,1,0
34,1,0
34,0,0
494,15,0
37,4,0
111,3,3
494,5,3
37,4,0
35,0,0
60,2,0
494,9,0
34,1,0
111,3,0
494,32,3
37,4,0
35,3,0
37,3,0
34,1,0
34,1,0
37,3,0
37,3,0
34,0,0
37,3,0
60,2,0
37,3,0
37,3,0
37,3,0
494,12,0
91,8,0
24,1,0
91,8,0
20,1,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
41,3,0
85,9,0
50,6,0
35,1,0
45,6,0
36,3,0
36,1,0
36,3,0
38,3,0
85,9,0
85,9,0
85,9,0
85,9,0
85,9,0
85,9,0
85,9,0
94,9,0
85,9,0
52,6,0
56,6,0
45,6,0
45,6,0
45,6,0
38,2,0
39,2,0
56,5,0
56,6,0
56,5,0
56,6,0
56,5,0
56,5,0
94,4,0
94,12,0
5,1,0
62,2,0
62,2,0
15,1,0
85,4,0
85,2,0
24,1,0
34,3,0
494,15,0
494,15,0
494,15,3
494,15,3
494,15,0
494,15,0
494,15,0
494,17,3
494,15,3
494,15,0
494,15,0
494,15,3
494,15,0
494,15,0
494,15,0
60,5,0
41,1,0
85,6,0
85,6,0
85,6,0
85,6,0
85,6,0
85,6,0
85,6,0
93,5,0
57,5,0
55,5,0
93,5,0
62,5,0
50,2,0
41,1,0
55,4,3
93,5,3
41,0,0
41,1,0
41,1,0
41,0,0
93,5,3
93,5,0
41,1,0
48,2,0
31,2,0
93,4,0
35,3,0
93,4,0
24,1,0
24,4,0
24,2,0
24,2,0
29,4,0
93,4,0
28,2,0
24,2,0
24,4,0
22,0,0
24,4,0
24,4,0
2,0,0
494,32,3
138,0,0
138,7,0
138,7,0
138,7,0
138,7,0
138,7,0
138,7,0
138,7,0
138,7,0
5,0,0
60,2,0
62,6,0
494,9,3
494,11,3
494,14,0
494,48,3
494,10,3
494,8,0
494,8,0
494,9,0
91,10,0
91,13,0
30,3,0
136,3,0
28,3,0
28,3,0
29,1,0
62,5,3
35,1,0
136,12,3
136,3,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,3
494,32,3
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,0
494,32,3
494,32,3
494,32,0
494,32,0
494,32,0
494,32,3
494,32,0
494,32,3
494,32,0
111,4,0
111,13,0
111,8,0
111,4,0
111,12,0
111,8,0
111,3,0
111,8,0
111,8,0
111,8,0
111,8,0
111,8,0
111,13,0
111,8,0
111,8,0
111,8,0
111,8,0
111,4,0
111,4,0
111,4,0
111,4,0
111,4,0
111,4,0
111,8,0
111,8,0
111,8,0
111,8,0
111,8,0
111,8,0
111,8,0
111,8,0
111,13,0
111,3,0
111,3,0
111,5,0
111,3,0
111,3,0
111,3,0
111,3,0
111,3,0
111,3,0
111,13,0
111,13,0
111,13,3
111,13,0
111,13,0
111,13,0
111,13,3
111,13,0
111,13,0
111,13,0
111,3,0
111,8,3
111,8,0
111,8,3
111,8,3
111,8,0
111,8,0
111,4,0
111,4,0
111,4,0
111,0,0
111,2,0
111,2,0
111,3,0
111,2,0
111,3,0
111,0,0
111,4,0
111,2,0
111,0,0
111,5,3
111,5,0
111,5,0
111,3,0
111,0,0
111,3,3
136,3,0
62,2,0
136,3,0
136,3,0
17,2,0
26,0,0
21,1,0
31,2,0
31,2,0
94,3,0
31,3,0
15,3,0
94,8,0
14,1,0
13,1,0
2,0,0
85,4,0
3,0,0
91,3,0
91,4,0
28,1,0
85,3,0
85,3,0
85,3,0
56,7,0
34,3,0
32,3,0
30,2,0
34,4,0
32,0,0
52,2,0
27,0,0
23,4,0
27,1,0
20,0,0
28,1,0
71,5,0
94,3,0
94,2,0
94,2,0
31,3,0
28,2,0
31,3,0
30,2,0
28,2,0
30,1,0
31,1,0
71,5,0
34,3,0
71,5,0
71,5,0
28,1,0
27,1,0
71,5,0
71,5,0
30,2,0
12,1,0
62,6,0
60,14,0
60,3,0
60,3,0
62,6,0
60,14,0
60,4,0
62,6,0
60,14,0
94,14,0
94,13,0
94,8,0
94,5,0
60,4,0
60,0,0
60,5,0
60,4,0
60,4,0
60,4,0
60,3,0
60,14,0
60,5,0
60,0,0
60,3,0
60,5,0
60,3,0
60,3,0
60,5,0
60,3,0
60,14,0
62,6,0
62,6,0
62,6,0
60,14,0
60,2,0
60,14,0
60,14,0
60,14,0
60,14,0
60,14,0
60,14,0
60,14,0
60,14,0
60,0,0
60,1,0
60,0,0
60,2,0
60,2,0
60,2,0
60,2,0
60,1,0
60,5,0
60,0,0
60,1,0
60,1,0
60,1,0
60,1,0
52,3,0
32,4,0
52,2,0
52,2,0
35,2,0
28,1,0
7,0,0
21,1,0
91,13,0
136,12,0
56,2,0
26,2,0
35,3,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,26,0
494,17,0
494,12,0
494,12,0
494,12,3
494,12,0
494,12,0
494,17,3
494,12,0
494,14,3
494,12,0
494,12,3
494,12,0
494,12,0
494,26,3
494,10,0
494,10,0
494,14,0
494,48,0
494,19,0
494,10,0
494,10,0
494,10,0
494,10,3
494,5,0
494,12,0
494,26,0
494,7,0
494,7,3
494,33,3
494,7,0
494,6,0
494,33,0
494,12,0
494,26,0
494,48,0
494,33,0
494,17,0
494,5,0
494,33,0
494,12,0
494,11,0
494,14,0
494,17,0
494,14,0
494,12,0
494,14,0
494,33,0
494,5,0
494,6,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,12,0
494,26,0
494,4,0
494,9,0
494,5,0
494,48,0
494,4,0
494,5,0
494,6,0
494,48,0
494,33,0
494,0,0
494,17,0
494,48,0
494,33,0
494,17,0
494,17,0
494,4,0
494,4,0
494,20,0
494,11,0
494,14,0
494,33,0
494,8,0
494,17,0
494,11,0
494,6,0
494,26,0
494,26,0
494,26,0
494,26,3
494,26,0
494,26,0
494,26,0
494,26,3
494,26,0
494,26,0
494,26,0
494,26,0
494,26,0
494,26,3
494,26,3
494,26,0
494,26,0
494,26,0
494,26,0
494,26,0
494,26,3
494,26,0
494,8,0
494,8,0
494,8,0
494,8,0
494,8,0
494,8,0
494,8,0
494,8,0
494,8,0
494,7,0
494,6,0
494,6,0
494,6,0
494,20,0
494,48,0
494,33,0
494,14,0
494,14,3
494,48,0
494,14,0
494,48,0
494,17,0
494,6,0
494,3,0
494,3,0
494,11,0
494,21,0
494,9,3
494,14,0
494,19,0
494,33,0
494,8,0
494,8,0
494,17,0
494,8,0
494,48,0
494,14,0
494,5,0
494,48,0
494,10,0
494,17,3
494,9,0
494,19,0
494,33,0
494,17,0
494,19,0
494,33,0
494,7,0
494,14,3
494,19,0
494,6,3
494,14,0
494,5,0
494,5,0
494,48,0
494,17,0
494,14,0
494,20,0
494,48,0
494,14,0
494,9,0
494,10,0
494,19,0
494,10,3
494,12,3
494,6,0
494,5,0
494,17,3
494,17,3
494,48,3
494,17,3
494,17,3
494,17,3
494,17,3
494,17,3
494,17,3
494,17,3
494,7,0
494,33,0
494,7,0
494,7,0
494,5,0
494,7,0
494,48,3
494,11,3
494,7,3
494,33,0
494,14,0
494,21,0
494,17,0
494,7,3
494,48,0
494,2,0
494,48,0
494,21,0
494,19,0
494,21,0
494,8,0
494,8,0
494,8,0
494,8,0
494,11,3
494,8,0
494,33,3
494,3,0
494,48,0
494,14,0
494,8,0
494,14,0
494,8,0
494,11,0
494,11,0
494,11,3
494,11,0
494,11,0
494,17,0
494,7,0
494,48,0
494,14,0
494,20,3
494,21,3
494,48,0
494,14,0
494,8,0
494,8,0
494,20,3
494,48,0
494,6,3
494,14,0
494,14,0
494,14,0
494,14,0
494,14,0
494,14,0
494,14,0
494,14,0
494,17,0
494,33,0
494,10,0
494,48,0
494,33,0
494,48,0
494,19,0
494,33,3
494,7,0
494,7,3
494,21,3
494,48,3
494,12,3
494,33,0
494,8,0
494,14,0
494,33,0
494,7,0
494,7,0
494,20,3
494,21,3
494,48,0
494,3,0
494,14,0
494,14,0
494,14,0
494,14,3
494,14,0
494,14,0
494,14,0
494,10,0
494,48,0
494,21,3
494,20,0
494,20,3
494,20,3
494,20,0
494,20,0
494,20,0
494,20,3
494,20,3
494,20,0
494,20,0
494,20,3
494,20,0
494,20,0
494,20,0
494,21,0
494,21,3
494,21,0
494,21,0
494,21,3
494,21,3
494,21,0
494,21,3
494,21,0
494,21,0
494,21,0
494,21,0
494,21,3
494,21,0
494,48,3
494,48,3
494,48,0
494,48,3
494,48,3
494,48,3
494,48,3
494,48,3
494,48,3
494,48,0
494,48,0
494,48,0
494,48,3
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,48,0
494,10,0
494,14,0
494,12,3
494,33,0
494,11,0
494,11,0
494,11,3
494,14,3
494,12,3
494,19,0
494,8,3
494,14,0
494,19,0
494,8,0
494,8,0
494,9,0
494,19,0
494,7,0
494,6,0
494,10,0
494,2,0
494,3,0
494,19,0
494,14,3
494,14,0
494,14,0
494,14,0
494,10,0
494,10,0
494,10,3
494,10,3
494,10,0
494,12,0
494,19,0
494,33,0
494,12,0
494,12,0
494,17,0
494,17,0
494,19,0
494,33,0
494,7,0
494,33,0
494,5,0
494,5,0
494,19,0
494,33,0
494,8,0
494,4,0
494,10,3
494,9,0
494,19,0
494,19,0
494,19,0
494,19,0
494,19,0
494,33,0
494,33,0
494,33,0
494,33,0
494,33,0
494,33,3
494,33,0
494,33,0
494,33,0
494,7,0
494,7,0
494,3,0
494,3,0
494,9,0
494,9,0
494,9,0
494,4,0
494,10,0
494,6,0
494,5,0
494,17,0
494,6,0
494,3,0
494,17,0
494,17,0
494,17,0
494,4,0
494,7,0
494,7,0
494,10,0
494,17,0
494,10,0
494,0,0
494,6,0
494,3,0
494,10,0
494,10,0
494,17,0
494,2,0
494,2,0
494,0,0
24,1,0
32,2,0
28,0,0
94,8,0
94,2,0
11,0,0
91,7,0
91,3,0
91,10,0
10,1,0
8,1,0
4,0,0
91,4,0
91,2,0
85,3,0
85,1,0
136,16,0
93,3,0
28,2,0
28,1,0
10,1,0
10,1,0
15,0,0
9,1,0
28,3,0
28,3,0
28,3,0
28,3,0
24,2,0
24,2,0
9,1,0
9,2,0
9,1,0
91,7,0
6,1,0
85,4,0
85,1,0
138,13,0
44,8,0
42,1,0
62,2,0
62,3,0
91,12,0
56,3,0
56,4,0
138,5,0
138,16,0
55,12,0
136,5,0
56,12,0
49,3,0
136,18,0
136,12,0
55,12,3
56,12,3
56,12,0
61,12,0
61,12,0
54,12,0
53,12,0
55,12,0
49,11,3
91,4,0
91,10,0
91,1,0
91,6,0
91,4,0
91,0,0
91,4,0
91,10,0
91,3,0
94,4,0
94,7,0
94,3,0
91,7,0
91,1,0
91,7,0
91,7,0
91,7,0
91,7,0
91,6,0
91,6,0
91,6,0
91,6,0
91,6,0
91,6,0
91,1,0
91,4,0
91,4,0
91,4,0
91,4,0
91,2,0
91,1,0
91,13,0
91,10,0
91,10,0
91,10,0
91,10,0
91,10,0
91,10,0
91,10,0
91,5,0
91,2,0
91,5,0
91,13,0
91,1,0
91,1,0
91,0,0
91,13,0
91,2,0
91,13,0
91,0,0
91,1,0
91,13,0
91,5,0
91,5,0
91,5,0
91,13,0
91,13,0
91,0,0
91,13,0
91,13,0
91,13,0
91,13,0
91,13,0
91,2,0
91,2,0
91,2,0
91,1,0
91,1,0
91,0,0
91,0,0
91,1,0
14,0,0
14,1,0
136,2,0
34,1,0
14,1,0
20,1,0
14,1,0
14,1,0
14,1,0
20,1,0
3,0,0
36,1,0
45,5,3
93,6,3
93,2,0
40,5,0
39,3,0
44,5,0
39,6,0
39,3,0
39,1,0
45,3,0
39,3,0
39,3,0
38,1,0
36,0,0
39,5,0
39,5,0
45,6,0
39,6,0
39,6,0
39,6,0
39,6,0
39,6,0
39,1,0
62,3,0
62,4,3
62,5,0
62,5,0
62,5,0
40,2,0
40,3,0
39,2,0
56,9,0
136,4,0
39,3,0
44,3,0
23,2,0
28,3,0
43,0,0
1,0,0
29,0,0
62,1,0
62,1,0
15,0,0
6,0,0
12,0,0
42,0,0
17,0,0
19,1,0
19,2,0
28,2,0
28,1,0
6,2,0
55,3,0
30,2,0
136,18,0
39,2,0
34,3,0
19,2,0
29,3,0
41,11,0
138,0,0
85,3,0
85,7,0
85,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,13,0
85,1,0
85,3,0
85,7,0
85,1,0
85,4,0
85,4,0
85,1,0
85,9,0
85,4,0
85,5,0
85,4,0
85,7,0
85,7,0
85,3,0
85,9,0
85,9,0
85,7,0
85,1,0
85,1,0
