"0,1-d","2,1-d","3,1-d"
98,12,0
65,0,0
150,2,0
79,0,0
97,4,0
76,0,0
85,0,0
80,2,0
148,2,0
129,2,0
66,0,0
78,0,0
72,4,5
73,2,0
64,0,0
67,0,0
70,0,0
113,2,0
80,0,0
97,4,0
81,2,0
305,6,5
69,0,0
98,0,0
64,0,0
64,0,0
73,0,0
94,0,0
64,0,0
66,0,0
73,0,0
66,0,0
121,4,0
78,4,0
77,2,0
72,2,0
76,0,0
70,0,0
74,4,0
99,0,0
119,10,0
95,2,0
91,4,0
67,0,0
78,2,0
150,8,0
80,2,0
93,0,0
291,4,0
90,4,0
147,0,0
70,4,0
91,2,0
84,6,0
84,0,0
83,4,0
64,0,0
373,10,5
126,8,0
79,2,0
63,0,0
90,4,0
68,2,0
70,2,0
49,2,0
44,2,0
91,4,0
56,2,0
55,4,0
40,2,0
57,2,0
61,2,0
90,2,0
44,0,0
42,0,0
57,0,0
67,0,0
73,4,0
115,0,0
55,2,0
52,0,0
38,0,0
82,2,0
306,18,0
86,0,0
37,0,0
58,2,0
48,2,0
113,0,0
38,0,0
37,0,0
76,2,0
38,0,0
57,0,0
38,0,0
61,2,0
42,0,0
44,0,0
69,0,0
4,0,0
7,0,0
143,8,0
113,2,0
109,2,0
98,4,0
137,8,0
133,2,0
91,0,0
94,0,0
246,20,0
111,0,0
294,14,0
134,6,0
104,0,0
125,4,0
105,2,0
146,2,0
111,0,0
122,2,0
103,0,0
109,0,0
116,2,0
93,0,0
104,0,0
88,0,0
104,0,0
95,0,0
108,0,0
97,0,0
127,4,0
101,2,0
120,4,0
141,2,0
136,12,0
95,0,0
88,0,0
102,0,0
153,4,0
105,0,0
122,2,0
95,0,0
113,0,0
215,6,0
89,0,0
96,0,0
99,0,0
112,0,0
120,2,0
100,0,0
117,0,0
117,0,0
94,0,0
100,0,0
90,0,0
101,0,0
94,0,0
108,0,0
98,0,0
104,2,0
138,2,0
115,0,0
97,2,0
92,0,0
93,2,0
92,0,0
90,0,0
98,0,0
89,0,0
131,2,0
102,0,0
90,0,0
143,0,0
91,0,0
93,0,0
114,2,0
125,0,0
90,0,0
100,0,0
108,2,0
103,2,0
87,0,0
89,0,0
88,0,0
111,2,0
87,0,0
88,0,0
91,0,0
93,0,0
36,2,0
30,0,0
85,4,0
34,2,0
29,0,0
17,0,0
44,2,0
41,0,0
28,0,0
22,0,0
36,0,0
36,0,0
20,0,0
42,2,0
24,0,0
20,0,0
61,2,0
41,2,0
89,0,0
37,0,0
78,0,0
38,0,0
61,0,0
52,0,0
36,0,0
47,0,0
58,0,0
64,0,0
43,0,0
42,0,0
44,0,0
48,0,0
38,0,0
59,0,0
35,0,0
41,0,0
39,0,0
35,0,0
36,0,0
42,0,0
39,0,0
69,0,0
64,0,0
40,0,0
36,0,0
39,0,0
41,0,0
37,0,0
34,0,0
39,0,0
20,0,0
28,0,0
19,2,0
88,2,0
27,0,0
24,0,0
23,0,0
16,0,0
14,0,0
23,0,0
14,0,0
17,0,0
15,0,0
72,0,0
76,0,0
86,0,0
40,0,0
45,0,0
27,0,0
40,0,0
29,0,0
27,0,0
23,0,0
48,0,0
39,0,0
24,0,0
67,0,0
35,0,0
30,0,0
27,0,0
23,0,0
70,0,0
22,0,0
34,0,0
24,0,0
34,2,0
176,4,0
59,2,0
26,0,0
85,4,0
32,2,0
24,0,0
28,0,0
19,0,0
20,2,0
22,0,0
29,0,0
58,0,0
23,0,0
20,0,0
67,2,0
18,0,0
395,32,15
107,2,0
89,2,0
244,14,0
132,2,0
107,0,0
114,2,0
139,2,0
120,0,0
141,0,0
113,4,0
127,12,0
105,0,0
118,6,0
113,2,0
95,0,0
100,2,0
95,0,0
132,4,5
121,4,5
113,0,0
90,2,0
93,2,0
86,0,0
90,0,0
123,0,0
96,0,0
89,0,0
96,0,0
115,2,0
122,2,0
91,2,0
100,0,0
89,0,0
93,2,0
104,2,0
93,0,0
103,4,0
89,2,0
103,0,0
104,0,0
87,0,0
97,0,0
89,2,0
89,2,0
91,0,0
92,2,0
169,12,10
91,0,0
90,4,0
99,4,5
95,0,0
105,2,0
98,0,0
86,0,0
95,0,0
92,0,0
86,0,0
108,0,0
102,2,0
112,0,0
100,0,0
104,2,0
89,0,0
86,0,0
106,2,0
108,0,0
86,0,0
102,2,0
126,6,0
111,6,5
89,0,0
88,0,0
87,0,0
96,0,0
129,0,0
92,2,0
117,2,0
91,0,0
96,2,0
99,0,0
88,0,0
129,2,0
85,0,0
90,0,0
122,4,0
121,2,0
95,0,0
120,4,0
91,4,0
100,2,0
81,6,0
94,2,0
114,0,0
104,2,0
86,0,0
107,0,0
68,0,0
83,0,0
102,2,0
104,2,0
69,0,0
94,6,0
71,0,0
104,2,0
72,2,0
150,6,0
73,0,0
107,0,0
98,2,0
73,2,0
89,0,0
69,0,0
85,0,0
141,10,0
81,0,0
67,0,0
75,0,0
89,0,0
76,0,0
68,0,0
76,2,0
67,0,0
69,0,0
82,0,0
67,0,0
86,0,0
70,0,0
67,0,0
70,0,0
134,0,0
69,0,0
76,0,0
67,0,0
73,0,0
95,0,0
70,0,0
67,0,0
68,0,0
74,0,0
71,0,0
101,0,0
68,0,0
73,2,0
74,0,0
101,2,0
75,0,0
68,0,0
76,0,0
78,0,0
69,0,0
51,0,0
63,0,0
4,0,0
37,0,0
22,0,0
73,0,0
43,2,0
83,0,0
74,0,0
21,2,0
18,0,0
17,0,0
19,0,0
33,0,0
20,0,0
19,0,0
24,0,0
37,0,0
251,4,5
319,4,5
59,0,0
47,0,0
16,0,0
26,0,0
25,0,0
23,0,0
17,0,0
66,2,0
315,2,0
32,2,0
14,0,0
34,0,0
135,0,0
14,0,0
18,0,0
18,0,0
41,0,0
20,0,0
24,0,0
22,0,0
35,0,0
80,0,0
25,0,0
34,0,0
26,0,0
29,0,0
12,0,0
20,0,0
8,0,0
66,2,0
59,0,0
85,0,0
66,0,0
104,2,0
80,0,0
78,0,0
68,0,0
355,16,0
92,0,0
65,2,0
97,2,0
54,2,0
54,2,0
63,2,0
68,2,0
58,2,0
68,0,0
74,0,0
57,0,0
75,0,0
65,0,0
62,0,0
117,0,0
66,0,0
67,0,0
84,0,0
72,0,0
56,0,0
56,0,0
52,0,0
54,0,0
72,0,0
69,0,0
52,0,0
91,0,0
64,0,0
53,0,0
51,0,0
58,0,0
52,0,0
50,0,0
76,0,0
64,0,0
58,0,0
63,0,0
51,0,0
62,0,0
51,0,0
53,0,0
176,0,0
88,0,0
65,0,0
32,0,0
57,2,0
134,0,0
49,0,0
58,0,0
37,0,0
23,0,0
19,0,0
31,2,0
22,0,0
36,0,0
25,0,0
24,0,0
18,0,0
262,6,0
344,18,10
305,4,0
85,8,0
47,4,0
103,8,5
83,4,5
89,2,0
141,2,0
74,2,0
151,0,0
179,2,0
309,8,5
64,2,0
118,6,5
188,0,0
74,0,0
84,0,0
63,2,0
49,0,0
