"0,1-nd","2,1-nd","3,1-nd"
8435,42,0
6163,0,0
15780,18,0
6682,0,0
7722,10,0
6469,0,0
7040,0,0
6877,4,0
15225,42,0
11732,14,0
6269,0,0
6679,0,0
6928,24,45
6831,12,0
6173,0,0
6311,0,0
6301,0,0
9731,4,0
7031,0,0
9691,38,0
6771,6,0
68627,90,45
6340,0,0
8116,0,0
6176,0,0
6164,0,0
6399,0,0
8008,0,0
6175,0,0
6234,0,0
6413,0,0
6233,0,0
10618,28,0
7202,16,0
6817,14,0
6327,14,0
6577,0,0
6674,0,0
6665,10,0
7800,0,0
12161,46,0
8618,10,0
8570,20,0
6853,0,0
7611,4,0
15564,26,0
6652,4,0
7849,0,0
61234,16,0
7601,16,0
14627,0,0
6755,16,0
7441,4,0
7382,34,0
7976,0,0
7129,28,0
6161,0,0
108599,170,45
11359,56,0
6897,4,0
6154,0,0
7486,12,0
6252,14,0
6989,6,0
3070,14,0
2580,14,0
8414,46,0
3635,18,0
3382,22,0
2505,14,0
4587,26,0
3697,8,0
8304,24,0
3057,0,0
2760,0,0
3493,0,0
3986,0,0
4484,12,0
10206,0,0
4148,22,0
3869,0,0
2487,0,0
8573,22,0
80123,62,0
6890,0,0
2545,0,0
4111,22,0
3965,20,0
10520,0,0
2630,0,0
2414,0,0
7254,22,0
2398,0,0
4425,0,0
2832,0,0
4226,22,0
3030,0,0
2718,0,0
4427,0,0
90,0,0
237,0,0
15759,68,0
11042,6,0
11770,16,0
10080,14,0
12898,30,0
14746,6,0
9976,0,0
10278,0,0
37890,86,0
11585,0,0
55209,42,0
14354,36,0
10368,0,0
13943,44,0
11616,22,0
16851,24,0
11152,0,0
12795,22,0
11200,0,0
11156,0,0
12218,18,0
9939,0,0
10549,0,0
9779,0,0
11197,0,0
10487,0,0
11065,0,0
10148,0,0
13866,42,0
11575,22,0
12067,32,0
16110,16,0
13885,62,0
9905,0,0
9776,0,0
11109,0,0
16458,32,0
10542,0,0
12558,16,0
10660,0,0
12123,0,0
32578,72,0
9810,0,0
10380,0,0
10411,0,0
12794,0,0
12887,14,0
10386,0,0
12521,0,0
12029,0,0
10207,0,0
10265,0,0
9857,0,0
11248,0,0
10413,0,0
11505,0,0
10171,0,0
10865,8,0
14311,32,0
11141,0,0
10426,6,0
10063,0,0
10323,16,0
9919,0,0
9858,0,0
10095,0,0
9833,0,0
14384,24,0
10910,0,0
10198,0,0
15394,0,0
10026,0,0
9934,0,0
12108,18,0
12778,0,0
9860,0,0
11097,0,0
10913,20,0
11026,16,0
9776,0,0
9911,0,0
9917,0,0
11190,8,0
9776,0,0
9859,0,0
9999,0,0
9864,0,0
1270,6,0
1060,0,0
7838,12,0
1386,8,0
936,0,0
615,0,0
2003,6,0
2097,0,0
1055,0,0
755,0,0
1299,0,0
1212,0,0
758,0,0
2019,8,0
968,0,0
661,0,0
3141,8,0
2529,6,0
7591,0,0
1800,0,0
6326,0,0
2058,0,0
3420,0,0
2501,0,0
1728,0,0
1958,0,0
2811,0,0
3014,0,0
1809,0,0
2054,0,0
1916,0,0
2212,0,0
1784,0,0
3178,0,0
1666,0,0
1836,0,0
1796,0,0
1667,0,0
1711,0,0
1915,0,0
1785,0,0
5153,0,0
3354,0,0
1768,0,0
1830,0,0
1968,0,0
1902,0,0
1740,0,0
1665,0,0
1975,0,0
967,0,0
1294,0,0
761,6,0
7499,6,0
1098,0,0
683,0,0
656,0,0
563,0,0
401,0,0
1312,0,0
397,0,0
703,0,0
403,0,0
4158,0,0
7370,0,0
6190,0,0
2569,0,0
2926,0,0
1113,0,0
1829,0,0
1679,0,0
1194,0,0
976,0,0
2063,0,0
1906,0,0
1014,0,0
4481,0,0
1465,0,0
1466,0,0
1045,0,0
1010,0,0
3927,0,0
971,0,0
2272,0,0
1005,0,0
1347,4,0
28987,18,0
4177,14,0
1175,0,0
8799,14,0
2033,8,0
1343,0,0
1667,0,0
1067,0,0
892,6,0
967,0,0
1212,0,0
3334,0,0
902,0,0
828,0,0
