"1,0-d","2,0-d","3,0-d","4,0-d","5,0-d"
45,36,6,0,0
6,2,0,0,0
2,0,0,0,0
3,2,0,0,0
16,26,15,4,0
5,2,0,0,0
11,8,0,0,0
4,0,0,0,0
9,0,0,0,0
9,2,0,0,0
2,2,0,0,0
2,2,0,0,0
3,0,0,0,0
17,42,45,12,0
1,0,0,0,0
18,22,9,0,0
1,0,0,0,0
2,0,0,0,0
1,0,0,0,0
5,2,0,0,0
4,2,0,0,0
2,0,0,0,0
4,0,0,0,0
1,0,0,0,0
2,0,0,0,0
2,0,0,0,0
33,48,12,0,0
1,0,0,0,0
3,0,0,0,0
18,16,3,0,0
22,18,0,0,0
26,38,3,0,0
22,36,9,0,0
7,6,0,0,0
5,10,3,0,0
8,14,0,0,0
9,6,0,0,0
4,2,0,0,0
5,2,0,0,0
14,12,3,0,0
15,0,0,0,0
6,6,0,0,0
2,0,0,0,0
12,6,0,0,0
16,10,6,0,0
2,0,0,0,0
6,2,0,0,0
3,0,0,0,0
1,0,0,0,0
5,2,0,0,0
4,8,3,0,0
3,2,0,0,0
9,6,0,0,0
1,0,0,0,0
7,2,0,0,0
13,6,0,0,0
25,20,3,0,0
19,12,0,0,0
13,14,0,0,0
4,0,0,0,0
10,2,0,0,0
3,0,0,0,0
3,0,0,0,0
1,0,0,0,0
5,2,0,0,0
1,0,0,0,0
6,2,0,0,0
1,0,0,0,0
7,4,0,0,0
5,0,0,0,0
16,4,0,0,0
2,0,0,0,0
8,6,0,0,0
27,44,3,0,0
6,0,0,0,0
7,12,0,0,0
8,4,0,0,0
17,22,0,0,0
2,0,0,0,0
4,4,0,0,0
17,30,3,0,0
1,0,0,0,0
7,6,0,0,0
12,4,0,0,0
2,2,0,0,0
8,2,0,0,0
10,16,6,0,0
7,14,6,0,0
3,4,0,0,0
4,0,0,0,0
4,2,0,0,0
6,2,0,0,0
3,2,0,0,0
4,0,0,0,0
2,2,0,0,0
11,12,3,0,0
3,2,0,0,0
5,4,0,0,0
2,2,0,0,0
3,2,0,0,0
2,2,0,0,0
5,0,0,0,0
25,26,3,0,0
6,0,0,0,0
8,2,0,0,0
1,0,0,0,0
3,0,0,0,0
37,34,3,0,0
2,0,0,0,0
5,2,0,0,0
76,20,0,0,0
11,4,0,0,0
12,0,0,0,0
9,4,0,0,0
24,22,0,0,0
6,2,0,0,0
4,0,0,0,0
7,2,0,0,0
