"1,0-nd","2,0-nd","3,0-nd"
362,320,33
170,22,0
108,0,0
57,46,0
203,264,156
60,38,0
206,162,0
169,0,0
150,0,0
227,98,0
47,38,0
47,38,0
72,0,0
189,294,183
45,0,0
218,174,33
45,0,0
47,0,0
45,0,0
120,42,0
61,8,0
53,0,0
60,0,0
45,0,0
48,0,0
46,0,0
323,298,45
45,0,0
53,0,0
214,154,30
397,292,0
376,350,27
395,356,39
146,130,0
105,112,27
129,124,0
140,20,0
104,38,0
61,4,0
190,138,30
165,0,0
189,128,0
56,0,0
186,58,0
204,86,39
48,0,0
44,4,0
48,0,0
18,0,0
129,118,0
82,114,15
38,28,0
99,100,0
18,0,0
77,70,0
172,108,0
235,212,30
215,100,0
108,102,0
42,0,0
48,8,0
27,0,0
20,0,0
10,0,0
29,4,0
10,0,0
38,16,0
10,0,0
72,10,0
57,0,0
127,10,0
35,0,0
63,68,0
183,176,15
78,0,0
82,104,0
73,88,0
454,428,0
35,0,0
138,62,0
165,174,15
8,0,0
114,70,0
70,38,0
20,18,0
91,58,0
148,178,39
130,166,39
55,86,0
165,0,0
68,32,0
117,74,0
48,74,0
35,0,0
40,58,0
127,106,15
69,74,0
83,78,0
40,58,0
63,24,0
40,58,0
72,0,0
717,534,15
82,0,0
147,36,0
8,0,0
41,0,0
414,198,9
11,0,0
74,36,0
416,140,0
34,8,0
48,0,0
110,44,0
360,304,0
30,4,0
46,0,0
73,8,0
16,4,0
9,4,0
124,6,0
27,0,0
200,82,0
58,22,0
22,10,0
22,10,0
63,0,0
170,0,0
946,598,39
149,0,0
297,0,0
364,166,33
273,32,0
508,0,0
145,102,0
229,162,0
430,186,0
392,288,0
129,0,0
244,0,0
129,0,0
140,0,0
359,222,39
363,128,0
159,0,0
134,0,0
865,400,0
132,0,0
132,0,0
390,216,33
154,132,0
369,42,0
163,0,0
129,0,0
402,148,0
177,136,33
129,0,0
162,0,0
386,346,90
180,52,18
624,312,0
820,526,54
143,0,0
355,0,0
188,0,0
262,0,0
200,116,0
247,116,0
364,0,0
156,0,0
235,0,0
185,0,0
229,0,0
298,0,0
305,0,0
473,402,0
160,132,0
129,0,0
263,0,0
143,18,9
145,0,0
258,0,0
152,0,0
132,0,0
182,0,0
183,116,0
145,0,0
171,0,0
159,0,0
202,0,0
134,0,0
129,0,0
129,0,0
597,108,0
162,0,0
140,0,0
674,472,24
129,0,0
140,0,0
191,0,0
129,0,0
496,426,207
133,98,0
130,0,0
129,0,0
277,120,0
354,0,0
204,0,0
129,0,0
129,0,0
301,318,54
129,0,0
354,84,0
298,0,0
540,358,0
300,282,0
241,186,0
582,332,0
428,116,0
365,228,39
188,104,0
178,22,0
554,254,0
221,76,0
423,0,0
225,0,0
245,154,0
276,6,0
147,0,0
182,162,0
408,232,0
376,148,0
129,0,0
191,98,0
289,148,45
147,104,0
315,182,0
235,0,0
189,0,0
133,0,0
605,428,45
305,248,0
370,280,0
129,0,0
393,36,0
190,0,0
135,0,0
329,246,0
139,0,0
218,152,0
355,114,0
339,266,0
401,282,0
340,0,0
437,264,0
549,280,36
460,254,0
518,72,0
172,0,0
201,128,0
131,0,0
6,0,0
49,82,0
28,0,0
5,0,0
4,0,0
84,0,0
142,12,0
55,0,0
169,58,0
15,0,0
18,0,0
385,166,0
39,0,0
59,0,0
23,0,0
18,0,0
115,42,0
129,96,0
64,0,0
5,0,0
5,0,0
20,0,0
413,128,0
117,0,0
156,0,0
406,70,0
47,0,0
821,474,42
30,0,0
102,0,0
234,54,0
286,0,0
44,4,0
518,320,54
325,118,0
221,0,0
176,0,0
83,42,0
154,0,0
266,212,0
96,0,0
133,0,0
109,0,0
304,64,0
139,22,0
75,0,0
69,0,0
141,0,0
7,0,0
3,0,0
2,0,0
1,0,0
1,0,0
31,16,0
119,0,0
110,16,0
15,0,0
33,16,0
30,16,0
34,16,0
26,16,0
11,0,0
13,0,0
3,0,0
63,28,0
26,0,0
6,0,0
4,0,0
3,0,0
27,4,0
567,302,36
91,80,0
320,148,0
215,114,0
200,30,0
325,160,30
138,76,0
201,0,0
196,182,36
149,166,33
257,148,0
138,148,0
216,148,0
205,0,0
235,148,0
206,160,0
105,0,0
263,218,0
190,0,0
65,0,0
157,148,0
284,148,0
79,0,0
353,172,9
97,104,0
85,0,0
66,0,0
161,0,0
138,148,0
215,80,0
257,120,0
161,0,0
65,0,0
205,82,0
225,0,0
149,76,0
66,0,0
76,96,0
694,274,0
65,0,0
186,148,0
65,0,0
348,242,18
377,146,0
128,50,0
181,178,33
343,224,0
256,148,0
174,0,0
148,0,0
106,0,0
303,254,36
96,0,0
267,182,0
128,0,0
308,186,0
65,0,0
101,0,0
234,148,0
252,114,0
558,314,18
190,0,0
30,0,0
123,0,0
33,0,0
358,190,18
179,178,78
129,22,0
108,0,0
101,0,0
86,16,0
133,6,0
155,0,0
247,96,0
220,36,0
115,104,0
28,0,0
18,0,0
119,0,0
137,0,0
179,0,0
283,14,0
18,0,0
209,248,75
80,0,0
35,0,0
93,124,0
102,20,0
115,126,0
143,42,0
548,550,135
37,0,0
262,346,51
22,0,0
253,58,0
200,180,24
39,0,0
334,310,0
47,20,0
362,408,0
196,8,0
27,0,0
61,12,0
336,278,0
41,0,0
51,0,0
38,0,0
90,24,0
50,0,0
27,0,0
27,0,0
27,0,0
67,14,0
85,0,0
32,0,0
446,74,12
99,82,0
21,0,0
209,158,0
159,150,27
26,0,0
112,86,0
255,270,27
34,0,0
193,134,0
35,0,0
65,0,0
422,302,12
280,366,129
65,0,0
220,194,27
65,48,0
57,0,0
402,396,93
126,124,0
36,0,0
74,0,0
27,6,0
10,0,0
236,170,0
21,6,0
101,0,0
188,0,0
266,358,30
450,522,180
235,234,0
48,0,0
94,8,0
164,200,51
82,104,0
71,0,0
191,216,15
137,0,0
345,528,165
203,166,0
205,188,0
86,0,0
326,346,60
237,134,0
318,144,18
60,0,0
95,0,0
156,244,0
141,196,0
88,0,0
60,6,0
85,0,0
109,134,0
336,388,126
218,66,0
351,404,51
162,42,0
91,0,0
217,328,123
75,58,0
39,0,0
199,222,0
29,0,0
155,270,129
30,0,0
226,44,0
79,146,84
23,0,0
140,210,69
38,0,0
32,0,0
47,0,0
11,0,0
180,0,0
42,0,0
14,0,0
14,0,0
468,282,12
77,0,0
130,112,9
36,0,0
156,24,0
189,0,0
335,0,0
29,0,0
47,0,0
325,270,51
81,0,0
131,0,0
68,92,0
72,0,0
27,6,0
34,6,0
66,0,0
97,0,0
40,0,0
83,0,0
23,0,0
27,0,0
23,0,0
110,0,0
143,20,0
21,0,0
51,10,0
21,0,0
21,0,0
93,14,0
54,0,0
33,0,0
286,340,78
46,0,0
47,0,0
68,0,0
110,0,0
138,134,0
27,0,0
90,86,0
89,106,15
554,318,24
81,0,0
241,292,120
72,76,0
97,110,12
19,0,0
75,0,0
19,0,0
129,24,0
109,0,0
19,0,0
173,0,0
77,0,0
217,158,0
4,0,0
52,0,0
35,12,0
178,0,0
512,392,0
29,0,0
37,0,0
54,6,0
55,14,0
13,0,0
112,0,0
13,0,0
86,0,0
13,0,0
13,0,0
23,0,0
141,26,0
53,54,0
22,0,0
49,0,0
261,0,0
42,0,0
262,132,0
46,0,0
106,86,0
51,4,0
186,162,0
86,68,0
151,64,0
123,88,0
216,158,0
69,66,0
213,234,30
83,0,0
42,0,0
45,0,0
77,0,0
42,0,0
68,46,0
172,112,0
163,0,0
117,20,0
240,18,0
151,0,0
221,206,12
183,222,30
318,226,39
48,16,0
90,72,0
104,0,0
492,200,18
231,106,0
171,44,0
58,0,0
172,48,0
116,94,0
129,180,81
11,0,0
112,46,0
154,74,12
11,0,0
71,68,0
24,0,0
8,0,0
2,0,0
19,34,0
11,0,0
111,126,24
103,46,0
51,0,0
29,0,0
8,0,0
33,0,0
39,0,0
128,22,0
9,0,0
45,0,0
59,0,0
63,20,0
11,0,0
89,38,0
82,0,0
26,0,0
142,52,0
211,114,0
54,28,0
20,0,0
9,0,0
10,0,0
15,0,0
15,0,0
72,0,0
46,0,0
13,0,0
77,0,0
17,0,0
174,48,0
8,0,0
32,0,0
111,70,0
61,0,0
10,18,9
10,18,9
10,18,9
30,18,9
202,110,9
14,8,0
35,0,0
13,8,0
25,14,0
39,24,0
55,40,0
47,40,0
237,228,63
42,0,0
111,56,0
95,20,0
118,56,0
7,0,0
8,0,0
116,110,24
60,158,138
40,0,0
33,0,0
9,0,0
9,0,0
73,0,0
64,0,0
9,0,0
9,0,0
52,0,0
88,218,399
54,0,0
12,0,0
20,0,0
88,0,0
30,8,0
127,102,18
12,0,0
61,6,0
33,0,0
61,0,0
24,0,0
129,0,0
112,0,0
78,0,0
50,0,0
179,100,18
97,0,0
31,0,0
78,0,0
50,0,0
29,0,0
101,0,0
63,0,0
43,4,0
141,44,0
94,0,0
132,62,0
49,0,0
105,128,0
20,0,0
27,16,0
44,14,0
18,0,0
29,0,0
66,12,0
47,14,0
60,0,0
39,0,0
42,0,0
82,90,0
111,52,0
46,0,0
56,0,0
44,0,0
86,0,0
37,0,0
55,56,0
80,0,0
60,0,0
66,0,0
122,0,0
65,0,0
63,0,0
103,86,0
268,102,12
170,84,0
103,0,0
34,8,0
58,30,0
108,0,0
17,0,0
52,0,0
82,56,0
97,26,0
17,0,0
182,94,0
128,76,0
43,0,0
37,0,0
56,6,0
3,0,0
76,86,0
93,210,396
6,0,0
39,44,0
116,86,0
31,26,9
7,0,0
93,0,0
16,0,0
125,16,0
16,0,0
16,0,0
55,0,0
94,8,0
26,0,0
9,0,0
9,0,0
302,188,0
192,126,0
185,66,0
100,0,0
137,0,0
112,86,9
41,0,0
41,0,0
41,0,0
41,0,0
52,0,0
41,0,0
137,0,0
41,0,0
146,0,0
41,0,0
161,138,0
41,0,0
41,0,0
87,0,0
59,28,0
41,0,0
41,0,0
41,0,0
74,32,0
191,170,0
159,56,0
79,6,0
87,0,0
111,24,0
161,148,117
47,10,0
74,0,0
11,0,0
29,8,0
61,8,0
19,8,0
66,0,0
42,0,0
84,12,0
33,4,0
39,0,0
69,26,0
35,24,0
49,0,0
91,0,0
41,0,0
129,156,0
29,0,0
65,8,0
76,0,0
21,0,0
76,0,0
71,14,0
154,22,0
16,4,0
63,146,135
16,4,0
11,4,0
32,34,0
94,202,177
109,214,180
78,116,105
39,80,63
134,210,180
136,82,0
25,0,0
25,0,0
42,20,0
31,0,0
34,0,0
25,0,0
25,0,0
53,28,0
130,20,0
51,0,0
6,0,0
2,0,0
48,0,0
56,0,0
26,0,0
23,0,0
94,0,0
23,0,0
56,0,0
100,0,0
23,0,0
96,0,0
99,0,0
23,0,0
50,0,0
35,0,0
45,0,0
39,0,0
30,0,0
50,26,0
127,44,0
26,8,0
58,14,0
10,0,0
28,0,0
10,0,0
32,0,0
73,10,0
24,0,0
121,208,66
67,0,0
27,0,0
23,0,0
65,86,33
144,268,183
7,0,0
115,0,0
5,0,0
135,40,0
112,14,0
79,24,0
138,0,0
96,0,0
283,258,0
52,0,0
127,50,0
186,166,18
73,0,0
338,138,0
92,0,0
176,14,0
182,0,0
341,274,0
235,0,0
169,0,0
169,0,0
73,0,0
76,0,0
80,0,0
73,0,0
231,104,0
73,0,0
73,0,0
169,0,0
346,144,0
113,0,0
80,0,0
221,96,0
204,0,0
101,90,0
245,0,0
97,0,0
224,0,0
26,36,0
40,6,0
19,6,0
123,0,0
80,6,0
225,146,30
150,168,30
121,100,0
121,128,0
123,128,0
89,50,0
21,0,0
45,0,0
57,48,0
58,0,0
37,0,0
47,38,0
133,64,0
222,56,0
37,0,0
37,0,0
37,0,0
112,72,9
39,0,0
37,0,0
72,0,0
37,0,0
37,0,0
83,38,0
39,0,0
15,0,0
5,0,0
107,0,0
50,0,0
75,136,0
58,0,0
89,134,0
130,6,0
263,114,42
87,0,0
74,0,0
66,120,0
66,0,0
55,0,0
50,0,0
50,0,0
87,0,0
83,120,0
156,0,0
134,174,0
125,0,0
80,0,0
163,110,0
77,14,0
65,0,0
154,208,396
80,0,0
63,0,0
100,58,0
67,0,0
64,0,0
96,16,0
82,52,0
66,48,0
75,48,0
119,0,0
80,0,0
63,0,0
65,0,0
63,0,0
83,0,0
88,0,0
98,74,0
105,0,0
65,0,0
63,0,0
142,0,0
196,72,0
109,0,0
204,72,12
78,8,0
114,0,0
73,0,0
105,0,0
6,0,0
47,10,0
23,0,0
6,0,0
6,0,0
44,10,0
99,44,0
22,0,0
18,16,0
28,14,0
17,12,0
56,0,0
10,12,0
17,16,0
13,14,0
48,34,0
157,46,0
109,54,0
90,8,0
31,0,0
126,116,0
52,48,0
60,0,0
72,0,0
62,0,0
61,0,0
60,0,0
150,0,0
144,52,0
73,0,0
60,0,0
60,0,0
60,0,0
60,0,0
64,0,0
79,0,0
60,0,0
60,0,0
64,0,0
97,0,0
60,0,0
83,0,0
105,0,0
60,0,0
93,0,0
88,14,0
65,0,0
60,0,0
68,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
156,40,0
61,0,0
109,0,0
76,0,0
60,0,0
115,36,0
71,0,0
60,0,0
2,0,0
49,54,0
16,10,0
25,0,0
29,8,0
9,0,0
9,0,0
98,12,0
4,0,0
8,0,0
23,0,0
21,0,0
39,0,0
65,0,0
24,0,0
11,0,0
8,0,0
67,0,0
86,34,0
34,0,0
77,190,0
23,0,0
75,176,99
86,206,0
140,52,18
56,28,0
24,0,0
21,0,0
21,0,0
27,0,0
37,0,0
21,0,0
21,0,0
49,0,0
37,0,0
179,136,0
199,208,0
174,152,0
124,92,0
160,80,0
156,0,0
50,0,0
73,0,0
53,0,0
55,0,0
50,0,0
166,74,0
50,0,0
218,142,0
209,0,0
145,166,0
101,82,0
133,96,0
67,0,0
119,26,0
26,0,0
47,0,0
110,0,0
34,16,0
76,26,0
12,0,0
39,0,0
67,0,0
36,0,0
36,0,0
36,0,0
141,62,0
80,88,0
178,46,0
11,0,0
51,56,12
18,0,0
17,0,0
73,148,0
49,16,0
56,0,0
209,112,0
33,0,0
33,0,0
33,0,0
66,0,0
140,0,0
33,0,0
33,0,0
6,0,0
18,6,0
20,6,0
116,178,165
95,138,99
30,0,0
16,0,0
135,254,168
125,62,0
52,0,0
2,0,0
44,0,0
16,0,0
21,0,0
21,0,0
90,0,0
186,0,0
103,8,0
90,0,0
90,0,0
92,0,0
90,0,0
95,0,0
102,0,0
103,0,0
114,22,0
96,0,0
235,98,0
90,0,0
102,0,0
122,128,0
90,0,0
90,0,0
134,0,0
105,98,0
111,98,0
92,0,0
95,0,0
90,0,0
90,0,0
90,0,0
90,0,0
217,0,0
92,0,0
114,0,0
186,0,0
154,90,0
127,0,0
90,0,0
11,0,0
39,0,0
59,40,0
27,0,0
41,0,0
37,0,0
30,0,0
67,16,0
82,0,0
67,16,0
22,12,0
85,52,0
34,0,0
13,0,0
31,0,0
12,0,0
15,0,0
25,26,9
96,0,0
102,0,0
96,0,0
122,0,0
96,0,0
96,0,0
96,0,0
127,14,0
142,0,0
96,0,0
96,0,0
106,0,0
96,0,0
96,0,0
109,8,0
96,0,0
96,0,0
115,0,0
198,0,0
96,0,0
114,0,0
97,0,0
96,0,0
96,0,0
96,0,0
107,0,0
144,0,0
189,0,0
101,0,0
98,0,0
96,0,0
96,0,0
96,0,0
177,76,0
142,0,0
173,188,129
119,0,0
96,0,0
34,0,0
54,22,0
7,0,0
27,0,0
3,0,0
8,0,0
8,0,0
24,0,0
40,0,0
14,0,0
138,0,0
9,0,0
105,62,0
228,0,0
41,0,0
17,0,0
11,0,0
6,0,0
11,0,0
53,8,0
1,0,0
1,0,0
71,92,0
58,0,0
37,0,0
25,0,0
51,0,0
25,0,0
60,76,0
15,0,0
117,26,0
75,26,0
23,0,0
39,0,0
29,22,0
78,30,0
23,0,0
23,0,0
49,0,0
50,0,0
51,0,0
42,30,0
42,30,0
121,0,0
49,62,0
25,0,0
8,0,0
15,0,0
51,0,0
33,0,0
34,0,0
17,0,0
18,0,0
19,0,0
33,0,0
78,0,0
21,0,0
14,0,0
24,0,0
22,0,0
8,0,0
5,0,0
5,0,0
14,0,0
67,0,0
25,0,0
11,0,0
3,0,0
42,0,0
11,0,0
19,16,0
17,0,0
109,0,0
40,0,0
15,0,0
15,0,0
66,0,0
11,0,0
12,0,0
11,0,0
11,0,0
11,0,0
5,0,0
9,0,0
3,0,0
2,0,0
2,0,0
2,0,0
3,0,0
2,0,0
10,0,0
45,16,0
36,0,0
69,0,0
29,0,0
29,0,0
56,0,0
57,36,0
33,10,0
58,0,0
18,0,0
48,10,0
16,8,0
16,0,0
42,8,0
13,0,0
3,0,0
22,0,0
54,32,0
26,0,0
28,0,0
53,4,0
11,4,0
41,0,0
34,0,0
165,218,399
36,0,0
29,0,0
29,0,0
29,0,0
45,0,0
29,0,0
29,0,0
29,0,0
29,0,0
96,76,0
114,102,18
15,0,0
