"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore"
81,1,0,0
117,7,0,0
111,10,3,0
101,7,3,0
144,10,3,0
108,9,0,0
91,9,3,0
90,9,3,0
86,7,6,9
91,7,6,9
85,7,6,9
92,7,6,9
111,10,6,9
111,8,3,0
111,8,0,0
120,10,6,9
144,11,6,9
96,10,9,27
117,10,9,27
93,8,3,0
91,10,9,27
91,10,9,27
92,9,3,0
117,7,3,0
92,7,0,0
91,9,3,0
90,9,3,0
117,7,3,0
91,7,3,0
130,7,3,0
91,7,6,9
85,7,6,9
92,7,6,9
119,11,9,27
101,10,3,0
101,10,9,27
109,10,3,0
100,10,3,0
92,9,0,0
130,13,9,27
99,10,9,27
117,10,9,27
130,16,9,27
117,10,9,27
107,10,6,9
120,10,6,9
92,7,0,0
144,11,6,9
101,10,3,0
91,7,6,9
98,7,6,9
92,6,0,0
101,8,3,0
85,5,0,0
144,8,3,0
98,5,0,0
101,8,0,0
91,6,0,0
91,7,0,0
91,9,3,0
130,10,9,27
94,13,9,27
80,0,0,0
109,10,4,0
104,10,3,0
120,10,6,10
144,15,6,10
109,10,4,0
107,8,3,0
144,13,3,0
109,10,3,0
91,7,3,0
85,6,3,0
91,9,3,0
91,7,3,0
144,10,3,0
130,8,3,0
144,12,6,10
120,10,3,0
120,6,0,0
130,10,9,27
111,11,9,29
109,10,6,9
144,11,9,27
111,11,9,29
109,10,3,0
109,10,3,0
109,9,6,9
152,13,9,29
111,11,9,29
109,11,6,9
111,11,6,9
144,11,9,27
111,11,0,0
111,11,9,27
111,11,3,0
111,11,3,0
111,11,3,0
111,11,0,0
152,13,9,29
111,11,9,29
111,11,3,0
144,13,6,9
109,6,3,0
152,13,6,9
109,6,3,0
111,10,6,9
109,9,3,0
99,8,3,0
152,13,6,9
144,11,3,0
144,9,3,0
144,10,3,0
152,13,9,27
144,11,9,27
144,11,6,9
94,2,0,0
111,11,9,27
109,10,3,0
109,9,6,9
152,14,9,33
111,11,9,28
110,11,9,27
109,9,3,0
111,11,9,27
96,6,6,9
96,6,6,9
96,6,6,9
96,6,6,9
96,6,6,9
94,1,0,0
152,13,3,0
110,10,3,0
96,3,0,0
96,6,3,0
96,6,3,0
96,6,6,9
107,9,3,0
109,6,3,0
109,10,3,0
109,9,3,0
107,7,3,0
107,9,0,0
110,10,3,0
109,9,3,0
111,9,3,0
110,10,3,0
109,10,3,0
152,13,9,27
109,11,9,27
109,7,3,0
111,11,9,27
96,6,0,0
152,13,3,0
96,4,3,0
96,4,3,0
96,4,3,0
109,6,3,0
96,3,0,0
109,6,0,0
109,6,0,0
111,10,3,0
96,5,3,0
152,13,3,0
94,1,0,0
96,2,0,0
152,13,3,0
110,10,3,0
109,9,6,9
152,13,9,29
152,13,9,27
152,17,9,27
111,11,9,27
96,6,3,0
110,10,0,0
117,1,0,0
33,1,0,0
111,10,6,9
144,11,9,27
111,11,9,27
111,10,3,0
152,12,9,29
111,11,9,29
111,10,3,0
111,10,3,0
111,10,3,0
152,12,6,9
71,5,0,0
152,12,9,27
144,11,9,27
144,6,0,0
152,12,6,9
109,9,6,9
107,9,3,0
101,9,3,0
101,9,6,9
100,7,3,0
101,9,6,9
152,14,9,29
110,11,9,28
109,11,6,14
107,10,6,9
101,9,3,0
152,12,3,0
71,6,3,0
100,9,6,9
152,12,9,29
152,12,6,14
152,12,6,9
152,12,3,0
152,12,6,9
152,12,3,0
101,9,6,9
101,9,6,9
96,8,3,0
91,7,3,0
