"0,2-d","1,2-d","3,2-d","4,2-d"
83,1,0,0
199,9,0,0
244,18,6,0
166,8,3,0
275,15,3,0
210,13,0,0
117,9,3,0
113,9,3,0
162,12,9,18
165,13,9,18
111,7,6,9
173,9,6,9
265,18,6,9
220,11,3,0
260,15,0,0
300,19,6,9
329,22,9,9
164,17,12,27
208,14,9,27
144,11,3,0
127,14,9,27
123,15,9,27
165,11,3,0
209,9,3,0
135,8,0,0
118,10,3,0
114,10,3,0
222,11,3,0
156,12,3,0
233,10,6,0
203,14,9,18
149,7,6,9
211,11,6,9
268,27,15,45
204,18,6,0
187,20,12,45
228,19,6,0
202,18,6,0
167,9,0,0
279,27,12,27
183,20,12,45
231,20,12,45
323,28,12,27
227,19,12,45
208,22,9,9
243,17,6,9
146,10,0,0
272,24,6,9
235,19,3,0
152,9,6,9
214,15,9,9
194,12,0,0
182,9,3,0
104,5,0,0
230,11,3,0
156,5,0,0
207,11,0,0
166,8,0,0
132,8,0,0
141,12,3,0
242,17,9,27
146,27,21,45
90,0,0,0
248,18,6,0
206,19,6,0
267,22,12,18
296,29,15,18
231,16,6,0
243,16,3,0
312,26,6,0
247,17,3,0
156,13,3,0
120,9,3,0
137,12,3,0
144,13,3,0
270,18,3,0
257,14,6,0
331,24,9,18
266,19,3,0
242,10,0,0
238,16,9,27
257,30,18,54
179,17,6,9
288,22,9,27
217,25,15,45
189,13,3,0
162,12,3,0
153,13,6,9
297,34,21,63
220,22,15,54
188,19,6,9
233,20,6,9
342,29,9,27
203,11,0,0
271,26,9,27
220,17,3,0
243,18,3,0
209,13,3,0
227,17,0,0
351,36,18,54
274,27,12,45
232,15,3,0
325,25,6,9
215,9,3,0
334,24,6,9
195,7,3,0
274,22,6,9
191,16,3,0
161,13,6,0
273,20,9,9
300,26,6,0
249,13,3,0
289,18,9,0
382,31,15,36
305,20,12,27
322,25,9,9
102,2,0,0
251,20,12,27
199,17,3,0
167,13,6,9
311,36,21,63
234,22,12,36
202,20,12,36
179,14,3,0
251,26,9,27
172,8,6,9
174,10,6,9
164,6,6,9
121,6,6,9
111,6,6,9
104,1,0,0
260,18,6,0
200,14,3,0
123,3,0,0
133,8,6,0
140,8,3,0
113,6,6,9
167,13,3,0
156,10,6,0
189,13,3,0
201,15,3,0
171,11,3,0
174,11,0,0
249,18,3,0
197,17,6,0
216,19,6,0
232,19,3,0
200,16,3,0
331,25,9,27
222,21,12,27
199,11,3,0
271,21,9,27
146,8,0,0
279,24,6,0
130,4,3,0
124,5,3,0
111,5,3,0
165,10,3,0
110,4,0,0
161,9,0,0
156,6,0,0
238,19,6,0
130,9,3,0
256,18,3,0
97,1,0,0
124,3,0,0
262,19,3,0
202,16,3,0
170,10,6,9
314,29,12,45
282,26,12,36
331,40,21,36
222,21,9,27
120,9,3,0
212,14,0,0
147,2,0,0
40,2,0,0
195,19,9,9
304,25,12,27
233,23,9,27
205,15,3,0
313,34,18,54
236,27,12,45
166,12,3,0
188,16,3,0
166,12,3,0
235,19,6,9
97,6,0,0
344,27,9,27
267,18,9,27
206,7,0,0
279,26,9,9
202,18,6,9
170,15,3,0
212,13,3,0
175,17,12,9
139,9,3,0
129,11,6,9
273,33,18,45
196,21,12,36
164,18,9,18
194,15,6,9
146,9,3,0
218,18,6,0
93,9,3,0
132,11,6,9
276,29,18,54
244,25,15,18
274,24,6,9
228,21,9,0
249,20,6,9
226,17,3,0
172,16,6,9
165,11,6,9
119,10,3,0
182,9,3,0
59,3,3,0
88,6,0,0
109,7,3,0
68,15,3,0
145,17,15,18
91,10,6,9
153,12,6,9
91,11,6,0
122,9,3,0
125,10,3,0
94,9,6,9
156,13,6,9
