"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex","4,2-HhIndex"
81,1,0,0
154,7,0,0
165,13,3,0
125,7,3,0
182,12,3,0
148,10,0,0
93,9,3,0
90,9,3,0
103,9,6,9
123,9,6,9
91,7,6,9
128,8,6,9
169,14,6,9
155,9,3,0
166,11,0,0
187,15,6,9
202,17,6,9
123,12,9,18
154,11,9,18
115,9,3,0
97,11,9,18
93,11,9,18
122,9,3,0
154,9,3,0
113,8,0,0
93,9,3,0
90,9,3,0
156,9,3,0
106,9,3,0
164,9,3,0
125,10,6,9
102,7,6,9
132,8,6,9
164,17,10,27
138,12,4,0
128,14,9,27
147,15,5,0
131,13,4,0
122,9,0,0
171,17,9,18
125,14,9,27
156,12,9,27
193,19,9,18
156,12,9,27
140,16,6,9
156,13,6,9
114,8,0,0
173,17,6,9
156,14,3,0
121,7,6,9
147,12,6,9
136,9,0,0
144,8,3,0
89,5,0,0
167,9,3,0
125,5,0,0
145,9,0,0
119,7,0,0
104,7,0,0
94,9,3,0
165,12,9,18
100,15,9,27
81,0,0,0
165,15,5,0
134,13,4,0
165,17,7,9
183,19,9,9
153,13,4,0
162,11,3,0
194,18,3,0
165,13,3,0
104,9,3,0
89,6,3,0
91,9,3,0
105,9,3,0
173,13,3,0
168,11,3,0
199,17,6,9
166,14,3,0
153,8,0,0
164,12,9,18
167,17,9,27
127,13,6,9
188,16,9,18
151,17,9,21
135,12,3,0
124,11,3,0
124,11,6,9
194,21,12,27
153,16,10,27
140,14,6,9
159,14,6,9
201,20,9,18
156,11,0,0
172,17,9,18
159,13,3,0
164,13,3,0
156,11,3,0
159,12,0,0
209,21,10,27
171,18,10,27
160,12,3,0
199,18,6,9
156,7,3,0
209,18,6,9
153,6,3,0
179,16,6,9
125,12,3,0
111,10,4,0
187,17,6,9
186,17,5,0
174,10,3,0
188,13,5,0
226,22,9,19
190,18,9,18
200,17,6,9
93,2,0,0
164,16,9,18
134,13,3,0
130,11,6,9
196,23,12,28
156,17,9,18
146,16,9,21
130,11,3,0
166,18,9,18
112,6,6,9
112,7,6,9
112,6,6,9
94,6,6,9
94,6,6,9
94,1,0,0
187,16,3,0
150,13,3,0
109,3,0,0
109,6,3,0
111,7,3,0
94,6,6,9
122,10,3,0
124,8,3,0
146,11,3,0
132,11,3,0
119,9,3,0
122,9,0,0
161,14,3,0
125,11,3,0
144,12,4,0
150,14,3,0
140,14,3,0
202,20,9,18
158,16,9,18
147,8,3,0
172,16,9,18
108,7,0,0
187,17,4,0
101,4,3,0
102,5,3,0
97,4,3,0
127,7,3,0
97,3,0,0
126,6,0,0
124,6,0,0
165,13,3,0
102,7,3,0
187,14,3,0
93,1,0,0
104,2,0,0
187,15,3,0
150,12,3,0
134,10,6,9
197,20,12,27
192,20,9,21
204,24,9,19
159,16,9,18
101,7,3,0
150,12,0,0
121,2,0,0
36,1,0,0
140,13,6,9
195,18,9,18
164,16,9,18
148,12,3,0
203,20,10,27
161,18,10,27
138,10,3,0
140,12,3,0
138,10,3,0
173,16,6,9
74,5,0,0
219,19,9,18
178,15,9,18
163,6,0,0
188,18,6,9
143,13,6,9
128,11,3,0
140,11,3,0
119,12,6,9
109,7,3,0
