0,40,84,1442
11,970,1031,1442
11,51,526,1442
11,51,714,1442
21,134,996,1442
134,1442,1564,3389
40,51,714,1442
40,51,1442,3414
40,51,1442,4182
40,1442,3185,4719
40,2700,5753,6206
186,1329,1442,2085
51,1442,2085,3414
1344,1442,3295,6854
114,327,1442,2788
1121,1344,1442,2700
1344,1442,2700,8046
1344,1442,3295,7053
475,1329,1442,2562
51,700,996,1442
51,1442,1564,3414
51,1442,1564,4182
51,1121,1442,1564
51,1442,1564,9444
51,1442,1564,8046
51,700,1442,1564
51,309,1442,3414
51,309,1442,8046
616,1031,1442,1564
1031,1442,1564,1665
623,1060,1442,1831
623,1442,2886,4202
1442,2788,3284,4011
1060,1442,3389,4538
1442,1564,3389,4538
39,623,1060,1442
623,1060,1121,1442
623,1060,1442,8046
623,1060,1442,2659
623,1121,1442,3917
623,1121,1442,4202
616,1060,1442,3389
616,1442,1564,3389
1442,1564,3389,3414
616,1442,3270,3389
1603,2034,2839,3185
243,630,1564,2613
187,243,1217,2134
243,1167,1829,3095
243,951,1217,1875
1576,3095,3632,5799
10,494,1461,5960
51,630,1564,8046
51,700,2034,2839
