"0,1-HCore","2,1-HCore","3,1-HCore"
8,2,0
8,2,0
8,2,0
12,2,0
9,4,5
16,0,0
8,4,5
8,4,5
6,2,0
22,2,0
6,2,0
6,2,0
12,2,0
6,2,0
6,2,0
12,0,0
12,0,0
12,0,0
33,2,0
12,2,0
12,2,0
12,2,0
16,2,0
24,0,0
12,0,0
12,0,0
20,0,0
9,4,5
9,4,5
22,2,0
9,2,0
9,4,5
25,2,0
9,2,0
9,4,5
9,4,5
16,4,5
43,4,5
16,2,0
16,4,5
16,4,6
16,4,5
16,4,5
16,4,5
16,4,5
16,4,5
16,4,5
16,4,6
16,4,5
16,4,5
16,2,0
16,4,5
5,4,5
22,2,0
22,2,0
22,2,0
22,2,0
29,8,30
22,8,30
27,2,0
22,8,30
22,4,5
22,0,0
22,4,5
22,4,5
22,8,30
22,4,5
22,4,5
22,4,5
22,8,30
22,2,0
22,0,0
22,2,0
22,0,0
22,2,0
6,2,0
4,0,0
12,2,0
12,4,5
12,0,0
12,2,0
12,2,0
12,0,0
12,2,0
12,4,5
12,2,0
12,4,5
12,2,0
12,0,0
15,6,15
7,6,15
7,6,15
7,0,0
7,6,15
7,2,0
7,2,0
15,2,0
4,2,0
33,4,5
33,4,5
33,6,16
33,2,0
33,6,16
33,0,0
33,0,0
33,6,16
33,4,5
33,4,5
33,3,0
33,6,16
33,4,8
33,6,16
33,2,0
33,0,0
33,0,0
33,6,16
33,2,0
44,0,0
33,4,5
33,4,5
33,6,15
33,0,0
33,0,0
33,0,0
52,0,0
33,4,6
33,6,16
33,0,0
33,0,0
33,0,0
33,2,0
16,2,0
19,2,0
7,2,0
6,0,0
8,0,0
7,0,0
9,2,0
18,4,5
19,4,5
9,0,0
9,2,0
11,4,5
13,2,0
9,2,0
9,2,0
16,2,0
16,4,5
16,4,5
37,2,0
16,2,0
29,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,0,0
16,2,0
16,2,0
29,4,5
24,16,140
24,16,140
25,5,9
24,16,140
67,14,105
30,5,9
24,14,105
24,16,140
30,14,105
67,14,105
24,2,0
24,16,140
24,14,105
24,2,0
24,14,105
24,14,105
24,14,105
24,2,0
24,16,140
24,16,140
24,2,0
24,16,140
24,16,140
14,2,0
7,2,0
7,0,0
9,2,0
7,2,0
7,2,0
7,2,0
22,0,0
20,2,0
20,14,105
20,14,144
20,14,105
20,14,105
20,14,144
20,14,105
20,14,105
20,14,105
20,0,0
20,14,105
20,14,105
20,0,0
20,14,105
20,0,0
20,0,0
20,14,105
20,14,105
20,14,105
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,2,0
8,0,0
8,0,0
25,2,0
25,0,0
56,2,0
25,6,15
25,6,15
25,6,15
25,6,15
25,2,0
25,2,0
25,0,0
25,2,0
25,0,0
25,4,5
25,4,5
25,4,5
25,4,5
25,4,5
25,2,0
25,2,0
25,2,0
25,0,0
25,2,0
25,0,0
25,0,0
25,0,0
20,6,15
24,6,15
10,6,15
18,6,15
8,0,0
8,2,0
8,2,0
8,4,5
13,2,0
8,2,0
8,2,0
14,2,0
8,2,0
43,4,7
11,4,7
20,4,5
11,2,0
18,4,5
11,4,5
11,2,0
11,4,7
11,2,0
11,0,0
11,4,5
43,6,15
43,4,7
43,4,5
67,22,399
43,12,158
43,8,30
76,22,299
55,22,310
55,22,310
65,22,467
56,22,410
76,22,570
56,22,407
61,22,399
80,22,352
66,22,428
56,22,410
43,22,275
43,22,275
43,22,275
43,22,278
43,10,57
43,6,15
43,12,145
43,2,0
43,12,75
43,12,79
43,12,75
43,4,5
43,12,75
43,8,30
43,8,35
43,10,87
43,4,5
43,10,50
43,8,30
43,10,50
43,10,55
43,4,5
43,2,0
43,4,7
43,2,0
18,12,75
76,6,15
14,6,15
16,6,15
14,0,0
14,0,0
14,12,75
14,12,75
14,12,75
14,12,75
14,12,75
14,12,75
14,0,0
6,4,7
6,4,5
8,4,5
9,4,5
8,4,6
8,4,5
8,0,0
8,2,0
8,2,0
6,4,5
12,4,5
5,4,5
11,4,5
4,4,5
11,4,5
11,0,0
11,0,0
11,2,0
11,2,0
11,2,0
11,2,0
11,0,0
11,2,0
11,2,0
9,4,5
9,2,0
9,2,0
24,2,0
9,2,0
9,0,0
9,2,0
6,4,5
5,2,0
12,4,5
25,8,30
16,8,30
27,8,30
12,8,30
16,8,30
12,4,5
12,0,0
12,0,0
12,2,0
12,0,0
5,2,0
5,2,0
5,2,0
15,6,15
15,6,15
15,6,15
15,4,5
15,4,5
19,2,0
17,0,0
15,0,0
15,0,0
15,2,0
15,2,0
15,0,0
15,0,0
15,0,0
6,6,15
6,6,15
19,2,0
5,0,0
6,6,15
6,0,0
2,2,0
15,2,0
17,10,50
17,10,50
15,4,5
15,6,26
15,2,0
24,10,50
15,2,0
15,6,15
15,10,50
15,10,50
15,10,50
15,0,0
15,6,15
4,0,0
4,2,0
4,2,0
10,2,0
20,2,0
36,0,0
19,2,0
17,10,50
17,4,5
17,6,21
18,2,0
17,2,0
22,2,0
24,10,50
17,0,0
17,0,0
17,10,50
17,10,50
17,4,5
17,4,5
17,10,50
17,4,5
17,0,0
36,2,0
5,2,0
5,2,0
7,2,0
1,0,0
11,6,16
31,4,5
17,4,5
12,6,15
12,6,15
11,0,0
7,0,0
11,4,5
31,4,5
10,6,15
20,6,16
11,6,15
9,6,15
9,6,16
9,6,15
9,0,0
17,2,0
12,4,5
12,4,5
16,0,0
46,0,0
11,0,0
7,0,0
31,3,0
12,4,5
16,4,5
12,0,0
12,2,0
12,4,5
12,4,5
12,4,5
12,4,5
12,0,0
12,0,0
31,4,8
17,4,5
12,6,15
11,4,6
12,6,15
11,4,5
11,4,5
11,4,5
31,4,5
