"0,1-d","2,1-d","3,1-d"
11,2,0
8,2,0
11,4,0
19,2,0
16,4,5
23,0,0
9,4,5
10,6,5
8,4,0
26,2,0
8,2,0
6,2,0
13,2,0
7,2,0
8,2,0
16,0,0
19,0,0
14,0,0
45,2,0
18,2,0
21,2,0
13,2,0
28,4,0
36,0,0
19,0,0
12,0,0
32,0,0
11,4,5
12,4,5
31,4,0
11,2,0
17,4,5
34,2,0
17,2,0
17,6,5
11,4,5
27,4,5
59,6,5
30,2,0
20,4,5
24,8,15
18,4,5
18,4,5
18,4,5
27,4,5
18,4,5
25,4,5
20,8,15
19,6,5
28,4,5
19,2,0
19,4,5
5,4,5
24,4,0
30,4,0
30,2,0
31,2,0
51,8,30
41,20,50
49,2,0
27,10,30
36,4,5
26,0,0
24,4,5
24,4,5
28,12,35
24,4,5
24,4,5
29,6,10
26,8,30
23,2,0
22,0,0
23,2,0
22,0,0
26,2,0
7,2,0
4,0,0
15,2,0
24,10,5
23,0,0
22,2,0
15,4,0
18,0,0
16,2,0
14,4,5
13,2,0
14,4,5
13,2,0
12,0,0
22,6,15
12,6,15
10,6,15
7,0,0
11,6,15
8,2,0
8,2,0
17,2,0
6,2,0
49,8,5
48,4,5
48,8,20
37,4,0
50,8,20
37,0,0
34,0,0
40,10,25
42,4,5
40,6,5
45,4,0
44,16,40
64,10,15
50,12,20
43,2,0
34,0,0
33,0,0
43,12,30
34,2,0
77,0,0
39,4,5
53,6,5
41,6,15
48,0,0
33,0,0
33,0,0
85,0,0
42,6,10
44,12,30
42,0,0
34,0,0
33,0,0
34,2,0
22,2,0
25,2,0
10,2,0
7,0,0
12,0,0
12,0,0
10,2,0
27,6,5
28,8,5
11,0,0
13,2,0
20,4,5
22,2,0
13,2,0
17,4,0
28,2,0
27,4,5
25,4,5
53,2,0
23,2,0
45,4,0
32,2,0
18,2,0
17,2,0
19,4,0
17,2,0
16,0,0
27,2,0
17,2,0
53,4,5
40,20,145
32,16,140
48,6,10
32,16,140
91,16,105
54,8,10
38,14,105
32,16,140
54,14,105
91,14,105
28,2,0
36,16,140
34,14,105
45,2,0
44,14,105
43,14,105
48,14,105
27,2,0
32,16,140
32,16,140
29,4,0
43,16,140
36,18,140
21,2,0
13,6,0
8,0,0
16,2,0
11,2,0
11,2,0
12,2,0
42,0,0
26,2,0
27,14,105
33,26,210
27,14,105
27,14,105
34,28,210
27,14,105
27,14,105
27,14,105
21,0,0
27,14,105
27,14,105
21,0,0
27,14,105
20,0,0
20,0,0
27,14,105
27,14,105
27,14,105
16,6,5
10,4,5
11,4,5
11,4,5
10,4,5
9,2,0
8,0,0
8,0,0
33,2,0
28,0,0
81,2,0
33,10,20
37,6,15
33,8,15
36,8,15
35,2,0
32,6,0
44,0,0
28,2,0
39,0,0
31,4,5
33,6,5
28,4,5
27,4,5
27,4,5
37,2,0
26,2,0
29,4,0
25,0,0
33,2,0
25,0,0
25,0,0
25,0,0
28,6,15
32,6,15
17,6,15
26,6,15
13,0,0
10,2,0
9,2,0
10,4,5
21,2,0
13,2,0
9,2,0
22,4,0
9,2,0
54,16,20
15,8,15
31,4,5
13,2,0
29,4,5
13,4,5
13,4,0
15,8,15
12,2,0
11,0,0
13,4,5
57,8,15
47,6,10
63,4,5
110,30,445
64,30,205
63,8,30
119,26,310
91,26,325
97,26,325
107,40,550
98,32,465
119,60,705
99,32,460
104,30,445
123,34,390
109,36,495
98,32,465
56,22,275
54,22,275
61,22,275
57,28,325
59,12,60
56,6,15
59,24,190
45,4,0
55,16,85
52,18,110
49,12,75
45,4,5
49,12,75
68,10,35
55,12,45
58,18,105
61,4,5
50,12,55
48,8,30
48,10,50
53,16,70
45,4,5
45,2,0
47,6,10
49,2,0
32,12,75
90,6,15
23,6,15
29,6,15
15,0,0
14,0,0
20,12,75
20,12,75
20,12,75
20,12,75
20,12,75
21,12,75
14,0,0
8,6,10
6,4,5
10,4,5
17,10,5
12,8,15
11,4,5
8,0,0
9,2,0
12,2,0
6,4,5
14,4,5
5,4,5
13,4,5
4,4,5
13,4,5
18,0,0
14,0,0
17,6,0
16,4,0
13,2,0
12,2,0
11,0,0
12,2,0
17,4,0
13,4,5
10,2,0
13,6,0
33,2,0
10,2,0
9,0,0
12,4,0
7,4,5
6,2,0
15,6,5
37,10,35
28,8,30
39,8,30
22,8,30
27,10,35
15,4,5
12,0,0
12,0,0
17,2,0
19,0,0
8,2,0
5,2,0
8,2,0
20,8,15
18,6,15
19,6,15
25,4,5
26,4,5
34,2,0
32,0,0
24,0,0
15,0,0
16,2,0
16,2,0
15,0,0
15,0,0
15,0,0
8,6,15
9,6,15
24,2,0
5,0,0
7,6,15
8,0,0
2,2,0
19,2,0
32,16,75
32,14,70
21,4,5
23,12,40
30,2,0
39,10,50
20,2,0
24,6,15
20,10,50
20,10,50
23,16,75
20,0,0
18,6,15
4,0,0
6,2,0
7,2,0
14,2,0
24,4,0
40,0,0
23,2,0
34,16,70
23,4,5
25,8,25
35,2,0
22,2,0
39,2,0
41,10,50
30,0,0
23,0,0
22,10,50
22,10,50
19,4,5
25,4,5
25,12,60
19,4,5
17,0,0
40,2,0
7,2,0
5,2,0
11,2,0
1,0,0
18,10,25
38,4,5
24,4,5
17,6,15
18,6,15
17,0,0
8,0,0
20,4,5
40,4,5
18,6,15
29,10,30
19,6,15
12,6,15
15,10,30
12,6,15
9,0,0
24,2,0
17,4,5
18,4,5
23,0,0
53,0,0
13,0,0
8,0,0
43,4,0
18,4,5
28,8,5
18,0,0
18,2,0
14,4,5
24,4,5
15,4,5
18,4,5
12,0,0
14,0,0
42,8,15
28,4,5
21,6,15
20,6,10
22,6,15
17,4,5
13,4,5
15,4,5
40,6,5
50,2,0
35,4,0
56,2,0
42,0,0
37,4,0
46,4,0
47,8,0
40,4,5
48,2,0
36,4,5
31,0,0
31,0,0
40,4,0
48,2,0
53,8,5
33,2,0
40,2,0
46,4,0
31,0,0
31,0,0
31,0,0
50,4,0
36,2,0
32,2,0
33,0,0
36,0,0
25,10,25
35,2,0
41,10,50
22,2,0
22,10,50
22,10,50
25,12,60
18,2,0
17,0,0
17,0,0
21,2,0
17,0,0
15,0,0
10,0,0
12,4,0
11,2,0
22,2,0
11,2,0
19,2,0
16,2,0
16,2,0
1,0,0
30,6,10
21,14,35
18,4,5
32,4,5
18,4,5
13,4,5
2,2,0
61,12,5
61,6,5
63,14,10
52,2,0
65,4,5
65,6,5
69,6,5
56,6,0
54,6,10
54,14,50
60,6,0
60,16,70
46,4,5
51,14,60
50,4,0
64,10,10
56,12,15
56,4,5
55,10,5
45,2,0
53,14,65
48,8,10
45,2,0
61,2,0
48,8,30
44,0,0
56,6,5
46,2,0
50,12,65
48,4,5
45,2,0
49,8,10
45,2,0
45,2,0
51,14,65
45,2,0
45,2,0
48,4,5
46,4,0
57,16,20
55,8,5
46,4,5
48,4,5
48,8,10
11,6,15
13,6,15
9,6,15
9,6,15
31,6,10
50,2,0
28,4,5
35,0,0
28,0,0
41,2,0
40,4,0
44,6,15
39,6,0
32,2,0
25,2,0
30,2,0
29,6,15
38,10,20
30,2,0
13,0,0
17,6,15
13,2,0
16,10,30
11,6,15
24,2,0
24,2,0
31,2,0
25,6,0
23,4,5
17,4,5
18,2,0
16,2,0
17,4,5
16,2,0
17,4,5
17,4,5
17,4,5
17,4,0
19,2,0
119,90,4705
82,10,30
119,88,4705
128,84,4305
100,92,4725
67,8,30
100,86,4505
93,82,4100
99,88,4705
106,88,4705
107,88,4705
98,88,4705
116,88,4705
96,88,4705
100,88,4705
105,88,4705
96,88,4320
94,84,4305
97,88,4705
96,88,4705
107,88,4705
96,88,4705
96,88,4705
128,88,4705
99,88,4705
108,88,4705
96,88,4705
97,88,4705
111,88,4705
113,88,4705
96,88,4705
117,88,4705
96,88,4705
98,88,4705
114,88,4705
96,88,4705
96,88,4705
96,88,4705
98,92,4725
132,88,4705
130,92,4710
118,88,4705
99,88,4705
98,88,4705
102,88,4705
107,88,4705
102,88,4705
58,8,30
57,10,35
65,10,35
55,6,15
55,6,15
24,6,5
13,8,10
12,4,5
11,4,5
11,4,5
9,0,0
19,4,5
43,2,0
17,2,0
11,0,0
11,0,0
34,4,5
31,4,5
27,4,5
16,6,5
21,0,0
12,0,0
11,4,5
21,2,0
11,4,5
7,0,0
23,6,5
33,2,0
27,4,0
29,6,0
24,6,5
24,8,5
31,2,0
23,4,0
26,4,5
21,4,5
33,10,10
23,4,5
20,2,0
19,0,0
24,2,0
19,0,0
19,0,0
21,4,5
20,2,0
16,0,0
9,4,5
6,4,5
3,0,0
23,6,10
22,8,10
13,8,20
8,2,0
11,6,10
12,6,10
20,2,0
15,4,0
11,2,0
9,2,0
14,4,0
11,2,0
37,4,5
29,4,5
31,6,5
32,4,5
62,14,25
39,6,10
34,2,0
44,8,5
22,6,10
21,4,5
29,8,10
21,6,10
20,4,5
22,6,10
24,4,5
22,4,5
23,4,5
23,4,5
23,2,0
30,6,5
27,2,0
20,0,0
45,0,0
25,8,30
23,8,30
23,8,30
23,8,30
23,8,30
28,2,0
46,4,5
37,4,5
21,4,5
26,4,5
24,4,5
19,0,0
21,4,5
3,2,0
3,2,0
11,4,5
11,4,5
7,4,5
28,6,15
28,8,15
14,6,15
20,6,15
16,2,0
20,2,0
23,2,0
12,2,0
11,0,0
34,2,0
19,2,0
24,4,5
27,6,15
18,6,15
27,8,15
18,6,15
22,4,5
15,4,5
20,4,5
15,4,5
12,2,0
58,0,0
30,2,0
5,2,0
21,4,5
12,0,0
17,4,5
11,4,5
14,2,0
9,2,0
48,6,5
66,36,610
53,10,15
61,38,625
67,16,50
68,32,600
59,32,600
51,6,15
67,36,620
58,38,615
53,32,600
55,36,615
53,32,600
58,32,600
53,32,600
53,32,600
65,40,630
53,32,600
53,32,600
53,32,600
53,32,600
63,14,30
45,2,0
39,2,0
51,6,10
52,10,20
66,10,30
58,12,35
113,4,5
45,4,5
44,0,0
41,2,0
39,0,0
45,12,15
51,4,5
39,4,5
56,2,0
23,12,50
13,10,50
13,10,50
12,10,50
12,10,50
12,10,50
7,0,0
32,2,0
30,2,0
45,0,0
38,10,10
36,0,0
54,6,0
44,4,5
35,4,5
37,4,5
34,2,0
50,0,0
37,8,10
39,4,5
38,4,0
41,6,5
40,2,0
31,4,5
33,8,15
38,2,0
36,14,30
45,4,5
30,2,0
34,6,15
31,4,5
37,10,20
33,4,5
32,6,15
31,4,5
34,2,0
22,10,50
22,10,50
21,10,50
21,10,50
21,10,50
22,4,5
19,4,5
18,4,5
19,4,5
21,6,15
19,6,15
18,4,5
19,6,15
20,6,15
18,4,5
3,2,0
20,0,0
4,2,0
3,0,0
17,0,0
19,4,5
25,4,5
11,0,0
11,0,0
11,0,0
11,0,0
13,0,0
12,2,0
21,2,0
53,36,615
59,10,20
60,32,600
51,32,600
40,0,0
59,34,610
50,32,600
45,32,600
47,32,600
45,32,600
50,32,600
45,32,600
45,32,600
57,32,600
45,32,600
45,32,600
45,32,600
45,32,600
44,8,15
31,4,0
30,2,0
34,2,0
31,0,0
37,8,0
32,2,0
34,6,15
32,6,15
32,6,15
24,16,140
40,6,10
24,16,140
46,8,15
24,16,140
28,16,140
24,16,140
24,16,140
35,16,140
28,16,140
18,0,0
18,2,0
30,4,5
31,6,10
16,16,140
16,16,140
20,16,140
16,16,140
16,16,140
27,16,140
20,16,140
54,12,40
55,32,600
46,32,600
54,36,620
45,32,600
40,32,600
42,32,600
40,32,600
45,32,600
40,32,600
40,32,600
52,32,600
40,32,600
40,32,600
40,32,600
40,32,600
60,6,0
53,6,15
27,2,0
