"1,0-d","2,0-d","3,0-d"
8,12,3
5,6,0
2,2,0
5,6,0
13,8,0
10,18,6
17,36,18
3,6,3
4,8,3
8,14,12
3,2,0
34,74,51
7,4,0
10,16,3
2,2,0
17,24,3
25,146,426
8,8,0
1,0,0
21,112,336
29,50,21
3,4,0
2,2,0
14,32,18
12,36,36
11,46,105
4,2,0
20,30,6
1,0,0
4,6,3
2,2,0
24,50,21
13,28,21
8,16,3
6,6,3
4,6,0
18,36,15
7,10,3
1,0,0
1,0,0
16,18,3
32,314,2085
9,14,12
10,18,3
22,66,45
23,30,6
1,0,0
7,20,15
16,42,45
23,290,2055
6,12,6
2,2,0
2,2,0
32,50,12
9,18,9
7,6,0
1,0,0
4,4,0
3,2,0
2,2,0
6,6,0
5,6,0
6,14,9
4,2,0
2,2,0
3,6,3
3,2,0
30,306,2064
17,92,264
9,72,252
25,300,2067
9,72,252
68,2144,42609
31,188,579
15,68,180
9,72,252
31,344,1554
68,2218,43077
5,2,0
13,84,264
11,58,168
22,138,336
21,234,1059
20,196,762
25,244,1002
4,4,0
9,72,252
9,72,252
6,6,0
20,96,282
13,82,255
14,70,174
27,198,537
8,56,168
3,6,3
7,18,9
13,28,15
14,78,204
9,22,12
4,4,0
63,2084,42222
81,2358,43278
30,160,372
77,2096,37989
22,178,480
4,4,0
1,0,0
1,0,0
37,28,3
1,0,0
2,2,0
9,10,3
1,0,0
6,6,0
6,2,0
1,0,0
2,2,0
4,6,0
18,272,2040
18,30,6
2,2,0
2,0,0
4,2,0
19,30,15
11,16,3
2,2,0
2,2,0
5,4,0
7,30,60
2,0,0
2,2,0
1,0,0
7,20,30
1,0,0
3,6,3
16,32,18
2,2,0
6,10,3
3,6,3
5,6,0
4,4,0
5,6,0
1,0,0
10,8,0
3,6,3
11,10,0
20,28,3
21,42,21
18,56,72
18,50,54
9,18,6
2,2,0
8,26,33
4,12,12
21,96,168
2,2,0
9,46,78
5,20,30
2,2,0
62,2176,42951
18,74,111
12,24,15
