"0,1-nd","2,1-nd","3,1-nd"
2393,0,0
2315,0,0
2265,8,0
2606,10,0
2276,4,0
2494,10,0
2380,0,0
2406,0,0
2483,0,0
2254,4,0
2254,4,0
2280,0,0
2621,4,0
2253,0,0
2681,46,65
2253,0,0
2254,0,0
2253,0,0
2336,6,0
2272,0,0
2260,0,0
2271,0,0
2253,0,0
2255,0,0
2253,0,0
3491,62,65
2253,0,0
2261,0,0
2677,12,0
3004,6,0
3159,14,0
3002,38,55
2378,4,0
2321,30,45
2372,24,0
2396,0,0
2315,4,0
2277,0,0
2541,14,0
2541,0,0
2412,20,0
2263,0,0
2493,12,0
2607,0,0
2255,0,0
4461,0,0
946,4,0
900,0,0
298,0,0
251,4,0
4383,0,0
168,8,0
118,0,0
1190,18,0
1159,12,0
460,10,0
620,18,0
538,62,280
648,78,300
707,56,280
464,0,0
754,78,300
749,0,0
412,0,0
526,0,0
466,34,120
506,0,0
509,0,0
173,4,0
110,0,0
82,0,0
107,0,0
1235,20,0
1012,0,0
1434,10,0
381,8,0
500,0,0
787,8,0
1046,12,0
327,0,0
673,0,0
336,0,0
4448,0,0
2327,0,0
465,0,0
2018,0,0
810,0,0
438,0,0
430,0,0
229,0,0
270,0,0
217,0,0
205,0,0
4551,0,0
8837,4,0
450,0,0
311,0,0
516,4,0
344,0,0
282,0,0
282,0,0
90,4,0
832,0,0
101,0,0
581,4,0
683,0,0
1347,100,395
588,0,0
584,92,375
471,0,0
432,0,0
921,0,0
489,32,95
608,54,175
645,98,345
698,130,485
479,50,195
546,72,285
511,92,445
461,0,0
1754,62,75
1265,52,65
584,30,45
1234,34,45
974,0,0
530,0,0
519,0,0
489,0,0
608,0,0
556,14,0
509,4,0
618,4,0
489,0,0
572,14,0
763,16,0
699,0,0
516,0,0
49,0,0
411,6,0
1127,0,0
1373,0,0
159,0,0
162,0,0
171,6,0
81,6,0
157,0,0
134,0,0
157,0,0
65,0,0
54,0,0
45,0,0
2075,62,65
1394,36,45
1445,28,0
1485,18,0
2044,38,45
1553,6,0
1382,14,0
1573,20,0
1419,14,0
1562,10,0
1373,24,25
1386,0,0
1316,0,0
1314,0,0
1314,0,0
1319,0,0
1336,0,0
1466,0,0
1393,0,0
1358,0,0
1496,10,0
2478,26,25
1319,0,0
1325,0,0
1382,0,0
1334,6,0
1959,10,0
1459,8,0
2526,22,0
1380,12,0
1432,24,25
57,0,0
86,0,0
800,28,35
2289,6,0
739,6,0
640,0,0
701,0,0
748,0,0
581,10,0
1293,28,35
485,0,0
537,0,0
810,32,35
616,0,0
489,0,0
