"0,1-HhIndex","2,1-HhIndex","3,1-HhIndex","4,1-HhIndex"
41,2,0,0
48,0,0,0
7,2,0,0
41,2,0,0
45,7,7,0
41,0,0,0
41,4,5,0
42,6,13,9
58,10,13,9
41,8,15,14
42,4,5,0
41,4,5,0
44,6,7,0
50,6,13,9
49,10,24,19
64,9,19,19
47,8,14,9
49,8,15,9
42,4,5,0
41,2,0,0
43,4,0,0
41,2,0,0
43,9,19,19
41,2,0,0
50,12,22,10
45,0,0,0
54,10,12,0
43,6,9,0
43,4,5,0
42,6,9,9
49,8,10,0
50,8,12,9
52,10,15,10
42,6,5,0
42,0,0,0
59,12,20,10
49,8,8,0
41,2,0,0
58,9,15,14
42,10,19,19
55,5,0,0
41,0,0,0
44,0,0,0
41,2,0,0
50,12,24,22
60,11,20,19
56,7,10,9
49,8,15,9
61,13,23,18
48,2,0,0
48,2,0,0
50,12,27,26
50,6,9,9
48,6,9,9
48,2,0,0
49,6,7,0
49,6,6,0
48,6,9,9
48,5,6,0
48,0,0,0
52,7,7,0
48,2,0,0
54,10,15,0
48,0,0,0
54,10,15,14
50,8,11,0
49,4,5,0
48,4,5,0
49,4,5,0
48,6,9,9
48,0,0,0
53,7,10,0
49,5,5,0
48,4,5,0
48,2,0,0
49,4,5,0
48,2,0,0
48,2,0,0
48,0,0,0
48,6,9,9
48,2,0,0
59,14,35,31
49,4,5,0
51,11,21,19
50,11,19,18
48,0,0,0
48,2,0,0
49,5,6,0
49,6,8,0
57,12,21,18
48,2,0,0
49,4,5,0
59,3,0,0
13,2,0,0
25,2,0,0
7,0,0,0
52,12,23,19
30,7,10,9
55,9,16,14
40,10,14,9
34,11,21,20
37,4,5,0
24,5,7,0
23,6,9,9
49,13,29,25
35,12,25,19
30,10,16,12
51,4,5,0
38,6,9,9
22,4,5,0
27,6,10,0
28,7,11,9
22,4,5,0
25,4,5,0
25,4,0,0
25,4,5,0
19,4,5,0
17,4,5,0
3,0,0,0
41,7,14,9
35,6,14,9
18,6,9,9
38,6,9,9
28,4,5,0
19,4,5,0
39,6,5,0
18,4,5,0
25,4,5,0
33,6,7,0
17,4,5,0
17,5,5,0
55,10,16,9
51,8,10,9
56,8,9,0
57,12,29,24
63,14,30,22
50,2,0,0
52,12,27,27
51,7,8,0
53,6,5,0
51,4,5,0
51,5,5,0
60,14,35,33
53,14,27,24
51,4,5,0
49,4,5,0
50,6,7,0
49,4,5,0
49,2,0,0
51,8,11,0
49,7,10,0
51,4,0,0
49,0,0,0
50,4,5,0
49,2,0,0
50,5,5,0
57,7,7,0
51,7,11,9
52,2,0,0
49,0,0,0
49,2,0,0
50,6,5,0
49,2,0,0
51,8,13,0
50,4,0,0
51,8,7,0
51,9,17,14
49,2,0,0
49,2,0,0
54,10,18,9
51,6,10,0
49,0,0,0
49,4,5,0
50,2,0,0
51,9,16,14
51,2,0,0
49,2,0,0
67,11,20,9
35,8,15,14
59,8,14,14
30,4,5,0
21,8,14,14
19,8,14,14
21,2,0,0
9,0,0,0
15,0,0,0
35,4,5,0
59,4,5,0
14,6,9,9
18,6,15,9
12,6,9,9
9,6,9,9
11,6,15,9
9,6,9,9
9,0,0,0
29,2,0,0
20,4,5,0
19,4,5,0
24,0,0,0
5,0,0,0
60,6,5,0
40,6,7,0
51,6,7,0
28,4,5,0
31,5,5,0
34,4,5,0
31,6,10,9
26,6,10,9
29,4,5,0
28,6,9,9
28,6,9,9
25,4,5,0
25,0,0,0
25,4,5,0
25,4,5,0
25,2,0,0
31,0,0,0
26,0,0,0
27,2,0,0
26,2,0,0
28,0,0,0
25,2,0,0
26,4,5,0
26,2,0,0
26,0,0,0
47,7,14,9
41,6,9,9
47,6,9,9
39,6,5,0
41,4,5,0
45,4,5,0
44,4,5,0
39,2,0,0
41,6,9,9
40,6,6,0
39,6,5,0
46,4,5,0
43,4,5,0
41,0,0,0
41,4,5,0
41,4,5,0
39,2,0,0
44,6,5,0
39,4,5,0
41,6,6,0
40,4,5,0
39,4,5,0
39,0,0,0
41,4,5,0
39,6,6,0
40,2,0,0
39,4,5,0
42,6,9,9
40,6,9,9
40,2,0,0
39,4,5,0
39,2,0,0
41,4,5,0
39,4,5,0
39,6,9,9
40,4,5,0
42,3,0,0
41,5,5,0
63,10,29,26
42,7,10,0
37,9,19,19
46,7,10,0
44,6,8,0
34,2,0,0
55,10,26,21
36,10,19,19
45,6,7,0
51,4,5,0
41,6,9,9
35,6,11,9
48,6,7,0
41,8,15,12
41,4,0,0
39,4,5,0
37,3,0,0
