"0,1-nd","2,1-nd","3,1-nd","4,1-nd"
2671,6,0,0
3187,0,0,0
258,6,0,0
2737,24,0,0
3545,100,325,0
2616,0,0,0
2657,40,215,0
3006,74,320,171
5935,170,845,495
2859,122,785,819
2825,44,215,0
2723,56,215,0
3604,66,310,0
4649,80,320,171
4379,232,1385,1116
7108,194,1135,1116
3937,164,895,639
4228,128,410,171
2983,50,160,0
2681,14,0,0
3278,42,0,0
2749,20,0,0
3234,178,1150,1116
2642,4,0,0
4519,246,1405,774
3930,0,0,0
5097,176,655,0
3436,84,290,0
3342,42,155,0
2824,46,240,135
4534,150,670,0
4558,112,360,144
5108,186,1045,774
3038,66,70,0
3105,0,0,0
6345,258,1305,774
4573,120,355,0
2825,22,0,0
5939,188,1025,963
3153,176,1150,1116
5340,60,0,0
2618,0,0,0
3281,0,0,0
2952,4,0,0
4061,274,2100,1980
6451,302,1835,1674
5613,154,780,486
3858,152,800,612
6861,310,1865,1395
3235,26,0,0
3256,8,0,0
4270,298,2405,2502
4789,48,170,117
3404,40,170,117
3156,6,0,0
3556,98,595,0
3633,48,85,0
3257,44,170,117
3388,72,165,0
3203,0,0,0
4537,106,325,0
3654,26,0,0
5047,200,660,0
3332,0,0,0
4939,196,1365,1503
4101,144,595,0
3447,38,90,0
3283,24,45,0
3676,62,120,0
3214,36,170,117
3139,0,0,0
4747,126,345,0
3907,62,45,0
3412,64,365,0
3163,14,0,0
3600,76,395,0
3153,10,0,0
3628,12,0,0
3254,0,0,0
3215,72,475,486
3204,6,0,0
5912,452,3060,2799
3615,46,45,0
4307,242,1850,1674
3825,210,1645,1764
3531,0,0,0
3317,16,0,0
3401,48,85,0
3648,76,255,0
5862,286,1800,1674
3208,8,0,0
4162,66,90,0
4695,26,0,0
482,8,0,0
1114,12,0,0
213,0,0,0
4330,286,1925,1674
1737,118,725,612
4740,192,1315,1143
2968,166,710,342
2149,230,1860,1863
2416,60,250,0
1291,78,415,0
1094,70,475,486
3791,394,2530,2160
2186,244,1965,1737
1704,160,1240,1125
4016,48,155,0
2696,100,755,783
1044,34,100,0
1525,104,540,0
1604,118,565,342
1044,34,100,0
1221,44,115,0
1365,30,0,0
1377,56,400,0
741,52,215,0
660,52,215,0
85,0,0,0
2505,106,375,171
2084,104,365,171
680,52,240,135
2414,68,270,144
1502,30,45,0
649,48,155,0
2297,58,95,0
688,28,45,0
1184,30,75,0
1703,74,200,0
692,42,80,0
650,38,95,0
5304,204,1080,495
4127,142,725,612
5343,148,410,0
5893,304,2235,2097
7130,394,2610,1908
3504,26,0,0
4539,264,2175,2286
3825,116,445,0
4806,108,250,0
3716,38,90,0
4176,94,90,0
6181,440,2975,2601
4576,330,2305,2061
4431,72,90,0
3434,34,100,0
3915,90,510,0
3434,34,100,0
3416,4,0,0
4360,126,835,0
3616,78,255,0
4452,42,0,0
3472,0,0,0
3946,34,40,0
3548,6,0,0
3649,58,175,0
6069,94,225,0
4519,104,500,225
4631,20,0,0
3552,0,0,0
3419,4,0,0
3746,64,150,0
3604,16,0,0
4053,128,440,0
3816,24,0,0
4127,142,245,0
4261,164,1245,1287
3532,6,0,0
3923,16,0,0
5002,238,1020,225
3762,94,370,0
3580,0,0,0
3490,52,40,0
3744,18,0,0
3892,132,1250,1287
